"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"9V6142","2021-09-07T20:00:00","20.90","-109.40",,,"1","6","2","5","3","3","1",,"300","3","77","1","97",,,"10140",,,"8","280",,,"253","1","270","8","8","6","A","A","A",,"6","2",,,,"239","9","798","172","5","0",,"2","111111","111AA11A1111AA","5",,,,,
"PINX","2021-09-08T07:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"98","2",,"10092","7","8","0","250",,,,"1","280",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111A11AA18331",,"1",,"0",,"4"
"LAQQ7","2021-09-08T16:00:00","22.50","-109.70",,,"1","6","2","5","6","3","1",,"360","4","41","1","99","2","0","10108","3","8","8","300",,"270","260","3","302","1",,"1","3","0","0",,"3","1","10","6","2","239","29","798","172","5","1","2","2","111111","11111111111111","5",,"0",,,
"PINX","2021-09-08T16:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"97","61","2","10100","3",,"0","260",,,"177","1","250","8",,"7","3","A","A",,"0","0","0",,,"239","5","992","114","5","1","2","2","411112","1111111A111337",,"1","2","0",,"4"
"DGAF","2021-09-08T18:00:00","20.40","-107.00",,,"1","6","2","5","7","4","1",,"80","4","134","1","96","80","8","10092","3","5","8","255",,"240","234","1","300","8","8","6","2","A","A",,"4","3","15","6","5","239","7","798","172","5","0",,"2","114111","11111111111111","5",,"6",,,
"PINX","2021-09-08T19:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"97","53","2","10098","4","0","0","260",,,,"1","300","8",,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","2","11111F","1113111AA11331",,"1","2","0",,"4"
"DGAF","2021-09-08T21:00:00","20.90","-107.90",,,"1","6","2","5","7","4","1",,"80","4","129","1","97","58","8","10079","8","5","8","265",,"240","230","1","300","7","6","6","3","1","2",,"3","3","13","6","5","239","7","798","172","5","0",,"2","114111","11111111111111","5",,"6",,,
"DGAF","2021-09-09T00:00:00","21.40","-108.70",,,"1","6","2","5","7","4","1",,"220","4","26","1","98","81","8","10070","7","10","8","280",,"255","246","1","310","7","6","4","5","A","A",,,"1","16","16","4","239","18","798","172","5","0",,"2","111111","11111111111311","5",,"6",,,
"DGAF","2021-09-09T03:00:00","21.90","-109.50",,,"1","6","2","5","7","4","1",,"20","4","46","1","98","1","0","10083","3","13","8","290",,,"241","1","300","4","3","1","5","A","A",,"2","1",,,,"239","19","798","172","5","0",,"1","111111","1111111A1111A1","5",,"0",,,
"PINX","2021-09-09T07:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","361","4","0",,"98","50","5","10092","4","0","0","240",,,,"1","290",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","12111F","1111111AA18331",,"1","2","0",,"4"
"2HDG4","2021-09-09T17:00:00","20.90","-106.50",,,"1","4","0","0","3","3","1","0",,"4",,,"97",,"6","10100","1","30","0","290","0","280","276","1","300","7","7","7","8","6","A",,"3","1","38","6","2","239","6","992","114","5","1","2","2","111711","141A1111111411",,"1","6",,,"4"
