"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"5100001","2019-09-01T00:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10175",,,,"276",,,"243","1","282",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T00:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","30",,,,,"10180",,,,"276",,,"245",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T00:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","30",,,,,"10174",,,,"276",,,"241","1","280",,,,,,,,"4","1","35","14","3","233","42","793","103","6","0",,"2","111111","11AAA11A11A11A",,,"6",,,"4"
"5100101","2019-09-01T00:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10180",,,,"277",,,"245",,,,,,,,,,"3","1","22","14","3","233","42","793","103","6","0",,"2","F11111","11AAA11A1AA11A",,,"6",,,"4"
"5100001","2019-09-01T01:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","30",,,,,"10174","6","14",,"277",,,"243","1","281",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,,"4"
"5100101","2019-09-01T01:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10179","8","14",,"277",,,"246",,,,,,,,,,,,,,,"233","42","793","103","6","1","2","2","F11111","11AAA11A1AAAA1",,,"6",,,"4"
"5100809","2019-09-01T01:00:00","27.88","-167.89",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","288",,,,,,,,,,,,,"233","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"WTEE","2019-09-01T01:00:00","23.50","-164.50",,,"1","4","0","0",,,"1","0","90","4","67",,,,,"10167",,,"0","277",,,"221","3","283",,,,"A",,,,,,,,,"233","34","992","114","5","1","2","2","111111","11AAA11A118AAA",,,"3",,,"4"
"5100001","2019-09-01T01:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","30",,,,,"10174",,,,"277",,,"243","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T01:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","90","1","30",,,,,"10178",,,,"275",,,"248",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T01:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","30",,,,,"10172",,,,"277",,,"245","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T01:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10177",,,,"275",,,"249",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T01:30:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","40",,,,,"10172",,,,"277",,,"246","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T01:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10177",,,,"275",,,"249",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T01:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","40",,,,,"10172",,,,"276",,,"245","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T01:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10177",,,,"276",,,"248",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T01:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","30",,,,,"10171",,,,"277",,,"246","1","281",,,,,,,,"3","1","21","14","3","233","42","793","103","6","0",,"2","111111","11AAA11A11A11A",,,"6",,,"4"
"5100101","2019-09-01T01:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","30",,,,,"10176",,,,"276",,,"247",,,,,,,,,,"4","1","1","9","3","233","42","793","103","6","0",,"2","F11111","11AAA11A1AA11A",,,"6",,,"4"
"1401668","2019-09-01T02:00:00","22.49","-164.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"233","24","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2019-09-01T02:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","40",,,,,"10171","6","12",,"277",,,"246",,,,,,,,,,,,,,,"233","42","793","103","6","1","2","2","F11111","11AAA11A1AAAA1",,,"6",,,"4"
"5100101","2019-09-01T02:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10176","6","13",,"277",,,"249",,,,,,,,,,,,,,,"233","42","793","103","6","1","2","2","F11111","11AAA11A1AAAA1",,,"6",,,"4"
"5100809","2019-09-01T02:00:00","27.88","-167.89",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","290",,,,,,,,,,,,,"233","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"WTEE","2019-09-01T02:00:00","23.50","-164.30",,,"1","4","0","0",,,"1","0","80","4","51",,,,,"10166",,,"0","276",,,"222","3","282",,,,"A",,,,,,,,,"233","34","992","114","5","1","2","2","111111","11AAA11A118AAA",,,"3",,,"4"
"5100001","2019-09-01T02:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","40",,,,,"10171",,,,"277",,,"246","1","282",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T02:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","30",,,,,"10176",,,,"275",,,"249",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T02:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","40",,,,,"10171",,,,"278",,,"248","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T02:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","30",,,,,"10176",,,,"275",,,"249",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T02:30:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","40",,,,,"10170",,,,"277",,,"247","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T02:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10176",,,,"276",,,"246",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T02:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10171",,,,"277",,,"249","1","282",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T02:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10177",,,,"277",,,"247",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T02:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10171",,,,"276",,,"246","1","282",,,,,,,,"4","1","17","14","4","233","42","793","103","6","0",,"2","111111","11AAA11A11A11A",,,"6",,,"4"
"5100101","2019-09-01T02:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10176",,,,"277",,,"248",,,,,,,,,,"4","1","35","14","3","233","42","793","103","6","0",,"2","F11111","11AAA11A1AA11A",,,"6",,,"4"
"1401668","2019-09-01T03:00:00","22.50","-164.59",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,,"233","24","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"3201645","2019-09-01T03:00:00","24.15","-161.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","279",,,,,,,,,,,,,"233","41","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"3201647","2019-09-01T03:00:00","27.52","-168.79",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"233","78","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4301534","2019-09-01T03:00:00","26.05","-169.12",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"233","69","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4301608","2019-09-01T03:00:00","26.58","-160.89",,,"1","4","2","5",,,"11",,,,,,,,,"10183",,,"8",,,,,"9","282",,,,,,,,,,,,,"233","60","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5100001","2019-09-01T03:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10171","6","7",,"277",,,"245","1","282",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,,"4"
"5100101","2019-09-01T03:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10176","6","8",,"277",,,"245",,,,,,,,,,,,,,,"233","42","793","103","6","1","2","2","F11111","11AAA11A1AAAA1",,,"6",,,"4"
"5100809","2019-09-01T03:00:00","27.88","-167.89",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,,"233","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5102587","2019-09-01T03:00:00","24.89","-160.39",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"233","40","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5102715","2019-09-01T03:00:00","20.17","-162.97",,,"1","4","2","5",,,"11",,,,,,,,,"10153",,,"8",,,,,"9","286",,,,,,,,,,,,,"233","2","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"WTEE","2019-09-01T03:00:00","23.50","-164.10",,,"1","6","2","5","9",,"1",,"80","4","62",,,,,"10165",,,"8","277",,,"228","3","283",,,"A",,"A","A",,,,,,,"233","34","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,
"5100001","2019-09-01T03:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","40",,,,,"10171",,,,"277",,,"242","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T03:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","30",,,,,"10176",,,,"278",,,"243",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T03:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","60","1","40",,,,,"10170",,,,"277",,,"242","1","281",,,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T03:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10176",,,,"277",,,"243",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T03:30:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","40",,,,,"10171",,,,"277",,,"243",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100101","2019-09-01T03:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","40",,,,,"10176",,,,"277",,,"241",,,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,,"4"
"5100001","2019-09-01T03:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","40",,,,,"10171",,,,"277",,,"244","1","280",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T03:40:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"70","1","30",,,,,"10177",,,"8","277",,,"241",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","2","F11111","11AAA11A1AAAAA",,,,,,
"5100001","2019-09-01T03:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","40","1","40",,,,,"10172",,,,"277",,,"244","1","280",,,,,,,,"3","1","18","14","4","233","42","793","103","6","1","2","2","111111","11AAA11A11A11A",,,"6",,,"4"
"5100101","2019-09-01T03:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","50","1","40",,,,,"10177",,,,"278",,,"243",,,,,,,,,,"4","1","2","13","4","233","42","793","103","6","1","2","2","F11111","11AAA11A1AA11A",,,"6",,,"4"
"1401668","2019-09-01T04:00:00","22.50","-164.59",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,,"233","24","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"3201645","2019-09-01T04:00:00","24.16","-161.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","280",,,,,,,,,,,,,"233","41","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"3201647","2019-09-01T04:00:00","27.52","-168.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"233","78","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4301534","2019-09-01T04:00:00","26.06","-169.12",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","288",,,,,,,,,,,,,"233","69","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4301608","2019-09-01T04:00:00","26.58","-160.89",,,"1","4","2","5",,,"11",,,,,,,,,"10180",,,"8",,,,,"9","280",,,,,,,,,,,,,"233","60","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5100001","2019-09-01T04:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","40","1","40",,,,,"10173","5","0",,"277",,,"245","1","280",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,,"4"
"5100101","2019-09-01T04:00:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"50","1","30",,,,,"10178","5","0","8","279",,,"244",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","2","F11111","11AAA11A1AAAA1",,,,,,
"5100809","2019-09-01T04:00:00","27.88","-167.89",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","288",,,,,,,,,,,,,"233","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5102587","2019-09-01T04:00:00","24.90","-160.39",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","288",,,,,,,,,,,,,"233","40","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5102715","2019-09-01T04:00:00","20.15","-162.97",,,"1","4","2","5",,,"11",,,,,,,,,"10154",,,"8",,,,,"9","286",,,,,,,,,,,,,"233","2","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"WTEE","2019-09-01T04:00:00","23.40","-163.90",,,"1","6","2","5","9",,"1",,"80","4","57",,,,,"10166",,,"8","276",,,"225","3","284",,,"A",,"A","A",,,,,,,"233","33","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,
"5100001","2019-09-01T04:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","30","1","40",,,,,"10173",,,,"277",,,"247","1","280",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T04:10:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"40","1","30",,,,,"10178",,,"8","278",,,"243",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","2","F11111","11AAA11A1AAAAA",,,,,,
"5100001","2019-09-01T04:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","30","1","40",,,,,"10173",,,,"277",,,"245","1","280",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T04:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"40","1","40",,,,,"10178",,,"8","278",,,"243",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","2","F11111","11AAA11A1AAAAA",,,,,,
"5100001","2019-09-01T04:30:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","30","1","40",,,,,"10174",,,,"277",,,"245","1","280",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T04:30:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"40","1","40",,,,,"10179",,,"8","278",,,"245",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","2","F11111","11AAA11A1AAAAA",,,,,,
"5100001","2019-09-01T04:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","40","1","40",,,,,"10173",,,,"276",,,"241","1","279",,,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T04:40:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"40","1","30",,,,,"10179",,,"8","278",,,"247",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","2","F11111","11AAA11A1AAAAA",,,,,,
"5100001","2019-09-01T04:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","40","1","40",,,,,"10174",,,,"277",,,"245","1","279",,,,,,,,"4","1","1","13","3","233","42","793","103","6","1","2","2","111111","11AAA11A11A11A",,,"6",,,"4"
"5100101","2019-09-01T04:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","30","1","40",,,,,"10179",,,,"276",,,"250",,,,,,,,,,"4","1","1","13","3","233","42","793","103","6","1","2","2","F11111","11AAA11A1AA11A",,,"6",,,"4"
"1401668","2019-09-01T05:00:00","22.50","-164.59",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,,"233","24","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"3201645","2019-09-01T05:00:00","24.18","-161.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","278",,,,,,,,,,,,,"233","41","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"3201647","2019-09-01T05:00:00","27.52","-168.81",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,,"233","78","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4301534","2019-09-01T05:00:00","26.07","-169.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"233","69","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4301608","2019-09-01T05:00:00","26.57","-160.90",,,"1","4","2","5",,,"11",,,,,,,,,"10183",,,"8",,,,,"9","278",,,,,,,,,,,,,"233","60","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5100001","2019-09-01T05:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","40",,,,,"10175","2","4",,"275",,,"244","1","279",,,,,,,,,,,,,"233","42","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,"4"
"5100101","2019-09-01T05:00:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"30","1","40",,,,,"10180","2","4","8","275",,,"247",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","1","F11111","11AAA11A1AAAA1",,,,,,
"5100809","2019-09-01T05:00:00","27.88","-167.87",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,,"233","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5102587","2019-09-01T05:00:00","24.92","-160.39",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,,"233","40","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5102715","2019-09-01T05:00:00","20.14","-162.98",,,"1","4","2","5",,,"11",,,,,,,,,"10157",,,"8",,,,,"9","286",,,,,,,,,,,,,"233","2","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"WTEE","2019-09-01T05:00:00","23.40","-163.70",,,"1","6","2","5","9",,"1",,"70","4","62",,,,,"10169",,,"8","275",,,"225","3","284",,,"A",,"A","A",,,,,,,"233","33","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,
"5100001","2019-09-01T05:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","50",,,,,"10176",,,,"275",,,"245","1","279",,,,,,,,,,,,,"233","42","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T05:10:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"40","1","40",,,,,"10182",,,"8","275",,,"246",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,
"5100001","2019-09-01T05:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","50","1","50",,,,,"10176",,,,"273",,,"241","1","279",,,,,,,,,,,,,"233","42","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,"4"
"5100101","2019-09-01T05:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"50","1","40",,,,,"10182",,,"8","276",,,"246",,,,,,,,,,,,,,,"233","42","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,
