"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4100561","2015-09-01T19:12:00","27.22","-50.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300617","2015-09-01T19:14:00","22.06","-59.93",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"244","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T19:14:00","23.39","-57.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","1","2","2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T19:15:00","27.88","-50.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"244","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100940","2015-09-01T19:15:00","26.74","-55.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"244","65","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T19:16:00","28.28","-53.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"244","83","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T19:16:00","27.95","-55.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T19:16:00","23.39","-57.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","0",,"2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100561","2015-09-01T19:16:00","27.22","-50.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T19:16:00","29.11","-55.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T19:17:00","27.95","-55.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","75","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T19:17:00","29.11","-55.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"244","95","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T19:18:00","28.28","-53.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"244","83","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T19:19:00","23.39","-57.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","1","2","2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T19:20:00","27.88","-50.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"244","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T19:20:00","27.95","-55.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100940","2015-09-01T19:20:00","26.75","-55.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"244","65","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T19:21:00","29.11","-55.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T19:22:00","28.28","-53.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"244","83","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300602","2015-09-01T19:22:00","29.53","-58.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,"244","98","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100044","2015-09-01T19:50:00","21.60","-58.60",,,"1","4",,"0",,,,"11","0","120","1","20",,,,"10165","6","9",,"288",,,"246","1","295",,,,,,,"4","1","4","9","2","244","18","793","103","6","1","2","2","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100598","2015-09-01T19:50:00","24.55","-56.07",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","302",,,,,,,,,,,,"244","46","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T19:54:00","27.88","-50.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"244","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300585","2015-09-01T20:00:00","28.87","-52.10",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"244","82","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300902","2015-09-01T20:00:00","22.49","-56.59",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","313",,,,,,,,,,,,"244","26","798","172","7","1","2","2","5FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100561","2015-09-01T20:00:00","27.22","-50.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100594","2015-09-01T20:00:00","27.85","-56.17",,,"1","3","2","5",,,,"11",,,,,,,,"10160","7","12","0",,,,,,"298",,,,,,,,,,,,"244","76","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100731","2015-09-01T20:00:00","27.86","-55.07",,,"1","3","2","5",,,,"11",,,,,,,,"10157","7","14","0",,,,,,"296",,,,,,,,,,,,"244","75","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100969","2015-09-01T20:00:00","28.82","-59.43",,,"1","3","2","5",,,,"11",,,,,,,,"10158","7","8","0",,,,,,"291",,,,,,,,,,,,"244","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4400522","2015-09-01T20:00:00","28.81","-57.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"244","87","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4400831","2015-09-01T20:00:00","29.26","-55.07",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T20:50:00","23.39","-57.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","1","2","2","7FFFFF","1AAAAAAAA6AAAA","4",,,,,,,,,,,,
"4100044","2015-09-01T20:50:00","21.60","-58.60",,,"1","4",,"0",,,,"11","0","120","1","30",,,,"10165","7","4",,"287",,,"251","1","294",,,,,,,"4","1","6","10","2","244","18","793","103","6","1","2","2","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100598","2015-09-01T20:50:00","24.54","-56.07",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"244","46","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T20:51:00","27.94","-55.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,"244","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T20:51:00","29.11","-55.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300617","2015-09-01T20:52:00","22.06","-59.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T20:53:00","27.87","-50.50",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T20:54:00","29.10","-55.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"244","95","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T20:55:00","27.87","-50.50",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300617","2015-09-01T20:56:00","22.06","-59.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","29","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T20:56:00","23.39","-57.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","0",,"2","7FFFFF","1AAAAAAAA6AAAA","4",,,,,,,,,,,,
"1300902","2015-09-01T20:56:00","22.49","-56.59",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","313",,,,,,,,,,,,"244","26","798","172","7","0",,"2","5FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100594","2015-09-01T20:56:00","27.85","-56.17",,,"1","4","2","5",,,,"11",,,,,,,,"10160",,,"8",,,,,"9","298",,,,,,,,,,,,"244","76","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4100940","2015-09-01T20:56:00","26.74","-55.16",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","65","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100940","2015-09-01T20:57:00","26.74","-55.16",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","65","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4400522","2015-09-01T20:57:00","28.81","-57.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"244","87","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T20:58:00","28.27","-53.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","83","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300617","2015-09-01T20:58:00","22.06","-59.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"244","29","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T20:58:00","27.94","-55.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,"244","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T20:58:00","23.39","-57.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","0",,"2","7FFFFF","1AAAAAAAA6AAAA","4",,,,,,,,,,,,
"1300902","2015-09-01T20:58:00","22.48","-56.60",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","309",,,,,,,,,,,,"244","26","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T20:58:00","29.11","-55.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100940","2015-09-01T20:58:00","26.74","-55.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","65","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T20:59:00","28.27","-53.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","83","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300602","2015-09-01T20:59:00","29.50","-58.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,"244","98","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T20:59:00","27.87","-50.49",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T20:59:00","27.94","-55.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100561","2015-09-01T20:59:00","27.21","-50.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4400831","2015-09-01T20:59:00","29.26","-55.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300585","2015-09-01T21:00:00","28.86","-52.08",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"244","82","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300902","2015-09-01T21:00:00","22.48","-56.60",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","309",,,,,,,,,,,,"244","26","798","172","7","1","2","2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100561","2015-09-01T21:00:00","27.21","-50.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100594","2015-09-01T21:00:00","27.83","-56.18",,,"1","3","2","5",,,,"11",,,,,,,,"10156","7","9","0",,,,,,"297",,,,,,,,,,,,"244","76","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100731","2015-09-01T21:00:00","27.86","-55.07",,,"1","3","2","5",,,,"11",,,,,,,,"10154","7","11","0",,,,,,"296",,,,,,,,,,,,"244","75","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100969","2015-09-01T21:00:00","28.81","-59.43",,,"1","3","2","5",,,,"11",,,,,,,,"10156","7","5","0",,,,,,"291",,,,,,,,,,,,"244","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4400522","2015-09-01T21:00:00","28.81","-57.04",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"292",,,,,,,,,,,,"244","87","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4400831","2015-09-01T21:00:00","29.26","-55.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300617","2015-09-01T21:02:00","22.06","-59.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"244","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T21:02:00","23.39","-57.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","1","2","2","7FFFFF","1AAAAAAAA6AAAA","4",,,,,,,,,,,,
"4100940","2015-09-01T21:02:00","26.74","-55.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","65","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T21:03:00","27.87","-50.49",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T21:03:00","27.94","-55.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,"244","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T21:04:00","28.27","-53.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","83","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300602","2015-09-01T21:04:00","29.50","-58.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,"244","98","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T21:04:00","29.11","-55.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T21:26:00","28.27","-53.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","83","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T21:32:00","27.93","-55.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","75","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T21:33:00","27.87","-50.49",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"244","70","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100561","2015-09-01T21:33:00","27.20","-50.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","70","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T21:33:00","29.11","-55.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"244","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300617","2015-09-01T21:34:00","22.07","-59.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","29","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300617","2015-09-01T21:35:00","22.07","-59.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"244","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300639","2015-09-01T21:35:00","23.39","-57.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,"244","37","798","172","7","1","2","2","7FFFFF","1AAAAAAAA6AAAA","4",,,,,,,,,,,,
"1300902","2015-09-01T21:35:00","22.49","-56.60",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","306",,,,,,,,,,,,"244","26","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300602","2015-09-01T21:38:00","29.50","-58.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,"244","98","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300637","2015-09-01T21:38:00","27.93","-55.31",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"294",,,,,,,,,,,,"244","75","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300618","2015-09-01T21:39:00","27.87","-50.49",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"296",,,,,,,,,,,,"244","70","794","103","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300601","2015-09-01T21:40:00","28.27","-53.71",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"296",,,,,,,,,,,,"244","83","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100652","2015-09-01T21:40:00","29.11","-55.72",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"293",,,,,,,,,,,,"244","95","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100940","2015-09-01T21:41:00","26.74","-55.17",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"299",,,,,,,,,,,,"244","65","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100044","2015-09-01T21:50:00","21.60","-58.60",,,"1","4",,"0",,,,"11","0","130","1","20",,,,"10166","4","0",,"286",,,"256","1","294",,,,,,,"4","1","5","8","2","244","18","793","103","6","1","2","2","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100598","2015-09-01T21:50:00","24.54","-56.08",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"244","46","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300585","2015-09-01T22:00:00","28.86","-52.08",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"244","82","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300902","2015-09-01T22:00:00","22.49","-56.60",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","306",,,,,,,,,,,,"244","26","798","172","7","1","2","1","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100561","2015-09-01T22:00:00","27.20","-50.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"244","70","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100594","2015-09-01T22:00:00","27.85","-56.17",,,"1","3","2","5",,,,"11",,,,,,,,"10154","7","8","0",,,,,,"297",,,,,,,,,,,,"244","76","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100731","2015-09-01T22:00:00","27.86","-55.07",,,"1","3","2","5",,,,"11",,,,,,,,"10152","7","8","0",,,,,,"296",,,,,,,,,,,,"244","75","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100969","2015-09-01T22:00:00","28.80","-59.43",,,"1","3","2","5",,,,"11",,,,,,,,"10153","7","6","0",,,,,,"291",,,,,,,,,,,,"244","89","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4400522","2015-09-01T22:00:00","28.81","-57.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"244","87","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4400831","2015-09-01T22:00:00","29.26","-55.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"244","95","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300602","2015-09-01T22:31:00","29.48","-58.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,"244","98","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
