"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"1300869","2015-09-01T04:00:00","23.02","-38.75",,,"1","3","2","5",,,,"11",,,,,,,,"10167","7","6","0",,,,,,,"277",,,,,,,,,,,,"246","38","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"2100942","2015-09-01T04:00:00","27.03","-39.43",,,"1","3","2","5",,,,"11",,,,,,,,"10166","7","7","0",,,,,,,"280",,,,,,,,,,,,"246","79","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100502","2015-09-01T04:00:00","29.00","-31.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","267",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100564","2015-09-01T04:00:00","29.26","-32.54",,,"1","4","2","5",,,,"11",,,,,,,,"10175",,,"8",,,,,,"9","269",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300519","2015-09-01T05:00:00","22.76","-39.93",,,"1","3","2","5",,,,"11",,,,,,,,"10162","7","11","0",,,,,,,"277",,,,,,,,,,,,"246","29","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300569","2015-09-01T05:00:00","27.60","-32.83",,,"1","4","2","5",,,,"11",,,,,,,,"10170",,,"8",,,,,,"9","274",,,,,,,,,,,,"246","72","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300869","2015-09-01T05:00:00","23.02","-38.75",,,"1","3","2","5",,,,"11",,,,,,,,"10162","7","9","0",,,,,,,"275",,,,,,,,,,,,"246","38","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"2100942","2015-09-01T05:00:00","27.03","-39.43",,,"1","3","2","5",,,,"11",,,,,,,,"10163","7","8","0",,,,,,,"280",,,,,,,,,,,,"246","79","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100139","2015-09-01T05:00:00","20.01","-37.85",,,"1","4","2","5",,,,"11","0","70","4","46",,,,"10155",,,"0","264",,,"1","231",,"274",,,,,,,,,,,,"246","7","794","103","6","1","2","1","111111","11AAA11A11AAAA",,,,
"4100502","2015-09-01T05:00:00","29.00","-31.30",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","266",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100564","2015-09-01T05:00:00","29.26","-32.54",,,"1","4","2","5",,,,"11",,,,,,,,"10172",,,"8",,,,,,"9","269",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"4100604","2015-09-01T05:27:00","29.44","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300569","2015-09-01T05:28:00","27.60","-32.83",,,"1","4","2","5",,,,"11",,,,,,,,"10172",,,"8",,,,,,"9","274",,,,,,,,,,,,"246","72","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300628","2015-09-01T05:28:00","22.50","-35.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300909","2015-09-01T05:28:00","24.41","-33.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","272",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100564","2015-09-01T05:28:00","29.26","-32.54",,,"1","4","2","5",,,,"11",,,,,,,,"10176",,,"8",,,,,,"9","269",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
