"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"4600560","2015-09-01T04:00:00","28.11","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T04:01:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4600560","2015-09-01T04:46:00","28.11","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T04:46:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T04:48:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T05:00:00","27.92","-137.84",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T05:00:00","22.46","-131.28",,,"1","3","2","5",,,"11",,,,,,,,"10169",,,"0",,,,,,"267",,,,,,,,,,,,"236","21","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T05:00:00","28.11","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T05:19:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T05:22:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T06:00:00","27.92","-137.84",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T06:00:00","22.46","-131.28",,,"1","3","2","5",,,"11",,,,,,,,"10175",,,"0",,,,,,"267",,,,,,,,,,,,"236","21","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T06:00:00","28.10","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T06:03:00","22.46","-131.28",,,"1","4","2","5",,,"11",,,,,,,,"10175",,,"8",,,,,"9","267",,,,,,,,,,,,"236","21","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"5100628","2015-09-01T06:03:00","20.81","-138.12",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T06:05:00","27.92","-137.84",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4600560","2015-09-01T06:06:00","28.10","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T06:09:00","20.81","-138.12",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T06:51:00","20.82","-138.12",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,"236","8","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T07:00:00","27.92","-137.84",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T07:00:00","22.46","-131.28",,,"1","3","2","5",,,"11",,,,,,,,"10174",,,"0",,,,,,"267",,,,,,,,,,,,"236","21","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T07:00:00","28.10","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T07:00:00","20.82","-138.12",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T07:38:00","20.82","-138.13",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,"236","8","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T07:43:00","27.92","-137.85",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T07:47:00","20.82","-138.13",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T08:00:00","27.92","-137.85",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T08:00:00","22.46","-131.28",,,"1","4","2","5",,,"11",,,,,,,,"10170",,,"8",,,,,"9","267",,,,,,,,,,,,"236","21","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T08:00:00","28.10","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T09:00:00","27.92","-137.85",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T09:00:00","22.46","-131.28",,,"1","3","2","5",,,"11",,,,,,,,"10165",,,"0",,,,,,"267",,,,,,,,,,,,"236","21","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T09:00:00","28.11","-135.65",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T10:00:00","27.94","-137.85",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T10:00:00","22.46","-131.28",,,"1","3","2","5",,,"11",,,,,,,,"10160",,,"0",,,,,,"267",,,,,,,,,,,,"236","21","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T10:00:00","28.10","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T10:38:00","22.47","-131.34",,,"1","4","2","5",,,"11",,,,,,,,"10155",,,"8",,,,,"9","266",,,,,,,,,,,,"236","21","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"5100628","2015-09-01T10:38:00","20.83","-138.16",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T10:39:00","27.94","-137.85",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4600560","2015-09-01T10:39:00","28.11","-135.65",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T10:39:00","20.82","-138.13",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T10:44:00","20.83","-138.16",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
