"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"1300002","2015-09-01T05:00:00","20.46","-23.09",,,"1","4","2","5",,,,"11","0","80","4","77",,,,,,,"0","254",,,"1","254",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","1","1111F3","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-01T05:00:00","28.06","-29.22",,,"1","3","2","5",,,,"11",,,,,,,,"10180","7","8","0",,,,,,,"266",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T05:00:00","25.68","-27.22",,,"1","3","2","5",,,,"11",,,,,,,,"10175","7","8","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T05:00:00","29.79","-23.36",,,"1","3","2","5",,,,"11",,,,,,,,"10195","7","9","0",,,,,,,"262",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T05:00:00","25.73","-27.81",,,"1","3","2","5",,,,"11",,,,,,,,"10176","7","7","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T05:00:00","20.40","-23.00",,,"1","4","0","0","0","0","1","1","0","80","1","100",,,,"10143","5","10","0","250",,,,"237","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4",,
"1300002","2015-09-01T05:32:00","20.46","-23.09",,,"1","5","2","5",,,,"11","5","77",,"76",,,,,,,"8","254",,,,,"9","256",,,,,,,,,,,,"247","3","798","172","6","0",,"1","1111F3","11AAAA1AA1AAAA",,,,,,,,,
"1300872","2015-09-01T05:50:00","25.51","-27.15",,,"1","3","2","5",,,,"11",,,,,,,,"10180","7","7","0",,,,,,,"261",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-01T06:00:00","28.07","-29.22",,,"1","3","2","5",,,,"11",,,,,,,,"10180","7","3","0",,,,,,,"265",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T06:00:00","25.67","-27.21",,,"1","3","2","5",,,,"11",,,,,,,,"10175","7","4","0",,,,,,,"260",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
