"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"1300521","2015-09-01T00:21:00","29.31","-46.55",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","96","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400843","2015-09-01T00:45:00","29.34","-44.94",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,"245","94","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400893","2015-09-01T00:45:00","26.31","-43.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,"245","63","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300515","2015-09-01T00:58:00","25.05","-48.93",,,"1","4","2","5",,,,"11",,,,,,,,"10185",,,"8",,,,,"9","295",,,,,,,,,,,,"245","58","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"1300516","2015-09-01T00:58:00","25.66","-49.56",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"245","59","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300565","2015-09-01T00:58:00","22.97","-48.11",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"245","28","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300588","2015-09-01T00:58:00","28.14","-41.13",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","285",,,,,,,,,,,,"245","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300624","2015-09-01T00:58:00","27.72","-47.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","290",,,,,,,,,,,,"245","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300625","2015-09-01T00:58:00","22.98","-41.78",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","21","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4100580","2015-09-01T00:58:00","23.24","-49.71",,,"1","4","2","5",,,,"11",,,,,,,,"10193",,"6","8",,,,,"9","295",,,,,,,,,,,,"245","39","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAA7","4",,,,,,,,,,,,,,
"4100991","2015-09-01T00:58:00","28.36","-44.07",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400843","2015-09-01T00:58:00","29.33","-44.93",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,"245","94","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400896","2015-09-01T00:58:00","29.46","-45.47",,,"1","4","2","5",,,,"11",,,,,,,,"10169",,"3","8",,,,,"9","281",,,,,,,,,,,,"245","95","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAA7","4",,,,,,,,,,,,,,
"6200728","2015-09-01T00:58:00","26.71","-42.76",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","285",,,,,,,,,,,,"245","62","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300521","2015-09-01T00:59:00","29.29","-46.55",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","96","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300526","2015-09-01T00:59:00","26.12","-48.02",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"245","68","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300588","2015-09-01T00:59:00","28.14","-41.14",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","285",,,,,,,,,,,,"245","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300624","2015-09-01T00:59:00","27.72","-47.53",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","290",,,,,,,,,,,,"245","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400893","2015-09-01T00:59:00","26.30","-43.82",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,"245","63","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300516","2015-09-01T01:00:00","25.66","-49.57",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"245","59","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300521","2015-09-01T01:00:00","29.30","-46.53",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","96","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300526","2015-09-01T01:00:00","26.12","-48.02",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","292",,,,,,,,,,,,"245","68","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300565","2015-09-01T01:00:00","22.97","-48.12",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"245","28","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300625","2015-09-01T01:00:00","22.99","-41.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","21","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300660","2015-09-01T01:00:00","27.92","-44.04",,,"1","3","2","5",,,,"11",,,,,,,,"10171","2","7","0",,,,,,"283",,,,,,,,,,,,"245","74","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4100580","2015-09-01T01:00:00","23.24","-49.71",,,"1","3","2","5",,,,"11",,,,,,,,"10193","2","6","0",,,,,,"295",,,,,,,,,,,,"245","39","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4100635","2015-09-01T01:00:00","22.41","-41.59",,,"1","3","2","5",,,,"11",,,,,,,,"10182","2","9","0",,,,,,"280",,,,,,,,,,,,"245","21","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4100991","2015-09-01T01:00:00","28.36","-44.06",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"282",,,,,,,,,,,,"245","84","794","103","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400546","2015-09-01T01:00:00","26.41","-45.33",,,"1","3","2","5",,,,"11",,,,,,,,"10178","2","8","0",,,,,,"287",,,,,,,,,,,,"245","65","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4400843","2015-09-01T01:00:00","29.33","-44.93",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,"245","94","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400868","2015-09-01T01:00:00","27.98","-40.84",,,"1","3","2","5",,,,"11",,,,,,,,"10168","2","19","0",,,,,,"284",,,,,,,,,,,,"245","70","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4400891","2015-09-01T01:00:00","25.40","-44.74",,,"1","3","2","5",,,,"11",,,,,,,,"10176","2","6","0",,,,,,"287",,,,,,,,,,,,"245","54","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4400893","2015-09-01T01:00:00","26.31","-43.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,"245","63","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400896","2015-09-01T01:00:00","29.46","-45.47",,,"1","3","2","5",,,,"11",,,,,,,,"10169","2","3","0",,,,,,"281",,,,,,,,,,,,"245","95","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"6200516","2015-09-01T01:00:00","21.42","-40.91",,,"1","3","2","5",,,,"11",,,,,,,,"10180","2","9","0",,,,,,"278",,,,,,,,,,,,"245","10","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"6200695","2015-09-01T01:00:00","26.64","-44.36",,,"1","3","2","5",,,,"11",,,,,,,,"10176","2","7","0",,,,,,"284",,,,,,,,,,,,"245","64","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"BATFR14","2015-09-01T01:00:00","28.20","-48.80",,,"1","4","0","0","1","4",,"1","0","350","4","46",,,,"10188","3","7","0","272",,,"215","1","290",,,,"A",,,,,,,,"245","88","992","114","5","1","2","1","111111","11AAA11A118AA1",,,"6",,,,,,,,,,,,"4"
"1300565","2015-09-01T01:02:00","22.97","-48.11",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,"245","28","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300588","2015-09-01T01:04:00","28.14","-41.13",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","285",,,,,,,,,,,,"245","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300625","2015-09-01T01:04:00","22.98","-41.78",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","21","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1300624","2015-09-01T01:05:00","27.72","-47.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","290",,,,,,,,,,,,"245","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4100991","2015-09-01T01:05:00","28.36","-44.07",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"245","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
