"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"KSFF","2022-09-01T17:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10016","3","14","8","341",,"224","169",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T18:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10020","1","17","8","330",,"228","181",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"VRIC6","2022-09-01T18:00:00","28.80","49.70",,,"1","4","0","0","5","1","1","0","200","3","36",,"97",,"1","10025","1",,"0","350","0","330","325","1","330","5","5","1","4","6","2",,"1","2","0",,,"218","89","992","114","5","1","2","1","111111","111A1111111137",,"1","1","0","4"
"KSFF","2022-09-01T19:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10019","0","12","8","325",,"217","164",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T20:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10020","0","4","8","314",,"202","141",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T21:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10016","8","4","8","309",,"203","145",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T22:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10014","8","5","8","310",,"209","158",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-01T23:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10014","5","6","8","304",,"201","145",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T00:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10014","6","2","8","294",,"197","144",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T01:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10016","3","2","8","294",,"199","148",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T02:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10021","3","7","8","288",,"190","135",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T03:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10029","3","16","8","283",,"181","118",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T04:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10038","0","22","8","291",,"203","156",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T04:00:00","28.60","49.90",,,"1","5","2","5","7","3","1",,,,,,,,,"10052","3","15","8","340",,"287","271",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T05:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10045","1","24","8","314",,"223","181",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"V7DJ7","2022-09-02T05:00:00","29.00","48.20",,,"1","4","0","0","0","0","1","0","260","3","51",,"97","2","0","10076",,,"0","360","0","270","239",,"322","2","0","6","2","0","0",,"3","0","0",,,"218","98","992","114","5","1","2","2","111111","1111111111113A",,"1","0","0","4"
"WDJ4009","2022-09-02T05:00:00","28.70","49.70",,,"1","5","2","5","7","3","1",,,,,,,,,"10059","3","16","8","369",,"293","270",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T07:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10042","0","4","8","365",,"235","177",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T07:00:00","28.80","49.30",,,"1","5","2","5","7","3","1",,,,,,,,,"10056","0","4","8",,,"294","259",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","2","F7FF11","1AAAA1111A8AA1","5",,,,
"VRIC6","2022-09-02T08:00:00","29.00","48.20",,,"1","6","2","5","5","1","1",,"50","3","26","1","97",,"2","10035",,,"8","360",,"330","323","1","330","5","5","1","4","6","2",,"1","2",,,,"218","98","798","172","5","1","2","2","111111","111A11111111AA","5",,"2",,
"WDJ4009","2022-09-02T08:00:00","28.80","49.00",,,"1","5","2","5","6","3","1",,,,,,,,,"10052","8","7","8",,,"303","267",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","2","F7FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T12:00:00","29.40","48.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10011","6","19","8",,,"244","168",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F7FF12","1AAAA1111A8AA1","5",,,,
"VRIC6","2022-09-02T13:00:00","29.00","48.20",,,"1","4","0","0","0","0","1","0","110","3","62",,"97",,"2","10025",,,"0","390","0","360","354","1","360","5","4","5","5","A","A",,,,"0",,,"218","98","992","114","5","1","2","2","552111","111A1111111A3A",,"1","2","0","4"
"KSFF","2022-09-02T16:00:00","29.00","48.50",,,"1","5","2","5","9",,"1",,,,,,,,,"10020","3","8","8","323",,"273","257",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T16:00:00","29.40","48.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10034","3","6","8","345",,"280","259",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T17:00:00","29.40","48.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10041","3","14","8","341",,"277","255",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T18:00:00","28.90","48.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10029","1","14","8","307",,"269","256",,,,,"A",,"A","A",,,,,,,"218","88","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T18:00:00","29.40","48.00",,,"1","4","0","0",,,"1",,,,,,,,,"10044","1","17","0","357","0","260","223",,,,,,"A",,,,,,,,,"218","98","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,"4"
"KSFF","2022-09-02T19:00:00","28.80","49.10",,,"1","5","2","5","9",,"1",,,,,,,,,"10030","1","10","8","300",,"261","247",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T19:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10043","0","9","8","345",,"282","262",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T20:00:00","28.80","49.30",,,"1","5","2","5","2","3","1",,,,,,,,,"10029","0","4","8","299",,"259","245",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T20:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10041","8","0","8","336",,"274","253",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA7","5",,,,
"KSFF","2022-09-02T21:00:00","28.80","49.50",,,"1","5","2","5","2","3","1",,,,,,,,,"10029","8","0","8","309",,"278","268",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA7","5",,,,
"WDJ4009","2022-09-02T21:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10036","8","8","8","335",,"258","230",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T22:00:00","28.70","49.70",,,"1","5","2","5","2","3","1",,,,,,,,,"10028","8","2","8","301",,"270","260",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T22:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10036","6","7","8","335",,"250","217",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-02T23:00:00","28.60","49.90",,,"1","5","2","5","2","3","1",,,,,,,,,"10028","5","1","8","301",,"272","263",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-02T23:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10035","6","6","8","327",,"251","222",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T00:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10037","3","1","8","328",,"242","207",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"VRIC6","2022-09-03T01:00:00","29.00","48.20",,,"1","4","0","0","0","0","1","0","340","3","21",,"97",,"2","10025",,,"0","330","0","270","250","1","320","5","4","5","5","A","A",,,,"0",,,"218","98","992","114","5","1","2","1","111111","111A1111111A3A",,"1","2","0","4"
"WDJ4009","2022-09-03T01:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10040","3","4","8","330",,"238","198",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T02:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10044","3","9","8","330",,"234","191",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T03:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10051","3","14","8","330",,"240","202",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T04:00:00","29.40","48.00",,,"1","4","0","0","0","0","1",,,,,,,,,"10055","1","15","0","356","0","250","208",,,,,,"A",,,,,,,,,"218","98","992","114","5","0",,"2","F1FF11","1AAAA1111A8AA1",,"1",,,"4"
"WDJ4009","2022-09-03T05:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10057","1","12","8","379",,"248","193",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T07:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10057","0","1","8",,,"288","236",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F7FF11","1AAAA1666A8AA1","5",,,,
"WDJ4009","2022-09-03T08:00:00","29.40","48.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10050","8","7","8",,,,,,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F7FF11","1AAAA1999A8AA1","5",,,,
"VRIC6","2022-09-03T09:00:00","29.10","48.20",,,"1","4","0","0","2","1","1","0","80","3","36",,"97",,"2","10035","1",,"0","400","0","370","364","1",,"5","5","1","4","6","1",,"1","2","0",,,"218","98","992","114","5","1","2","2","751111","111A1111111137",,"1","2","0","4"
"VRIC6","2022-09-03T10:00:00","29.00","48.20",,,"1","4","0","0","0","0","1","0","30","3","51",,"97",,"2","10025",,,"0","370","0","290","265","1","340","4","3","5","5","6","A",,,,"0",,,"218","98","992","114","5","1","2","2","331111","111A1111111A3A",,"1","2","0","4"
"VRIC6","2022-09-03T11:00:00","29.00","48.20",,,"1","4","0","0","0","0","1","0","30","3","41",,"97",,"1","10025",,,"0","370","0","300","280","1","340","4","3","5","5","A","A",,,,"0",,,"218","98","992","114","5","1","2","2","331111","111A1111111A3A",,"1","1","0","4"
"WDJ4009","2022-09-03T12:00:00","29.40","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10019","6","24","8",,,,,,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F7FF14","1AAAA1999A8AA1","5",,,,
"WDJ4009","2022-09-03T13:00:00","29.30","47.90",,,"1","5","2","5","5","1","1",,,,,,,,,"10016","6","18","8",,,,,,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F7FF14","1AAAA1999A8AA1","5",,,,
"WDJ4009","2022-09-03T18:00:00","29.30","47.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10026","3","11","8","392",,"236","162",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F5FF12","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T19:00:00","29.30","47.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10024","0","7","8","383",,"226","148",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F5FF12","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T20:00:00","29.30","47.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10022","8","1","8","376",,"204","101",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F3FF14","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T21:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10016","8","10","8","367",,"201","101",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F3FF14","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-03T22:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10013","8","11","8","365",,"197","92",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF14","1AAAA1116A8AA1","5",,,,
"WDJ4009","2022-09-03T23:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10009","5","13","8","362",,"195","90",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF14","1AAAA1116A8AA1","5",,,,
"WDJ4009","2022-09-04T01:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10014","3","1","8","341",,"185","80",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF14","1AAAA1116A8AA1","5",,,,
"WDJ4009","2022-09-04T02:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10018","3","9","8","338",,"183","77",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","1","F1FF14","1AAAA1116A8AA1","5",,,,
"WDJ4009","2022-09-04T03:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10025","3","13","8","338",,"180","70",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F1FF14","1AAAA1116A8AA1","5",,,,
"WDJ4009","2022-09-04T04:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10031","1","16","8","363",,"196","91",,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F1FF14","1AAAA1116A8AA1","5",,,,
"WDJ4009","2022-09-04T06:00:00","29.30","47.90",,,"1","4","0","0","0","0","1",,,,,,,,,"10033","1","8","0","403","0","218","115",,,,,,"A",,,,,,,,,"218","97","992","114","5","0",,"2","F5FF14","1AAAA1111A8AA1",,"1",,,"4"
"WDJ4009","2022-09-04T07:00:00","29.30","47.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10031","0","1","8",,,,,,,,,"A",,"A","A",,,,,,,"218","97","798","172","5","1","2","2","F7FF14","1AAAA1999A8AA1","5",,,,
"WDJ4009","2022-09-04T12:00:00","28.80","49.00",,,"1","5","2","5","3","4","1",,,,,,,,,"10007","6","13","8","386",,"292","263",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,
"WDJ4009","2022-09-04T13:00:00","28.80","49.30",,,"1","5","2","5","2","3","1",,,,,,,,,"10005","6","9","8","392",,"300","272",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-06T23:00:00","28.60","49.90",,,"1","5","2","5","7","4","1",,,,,,,,,"10003","5","1","8","301",,"272","262",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T00:00:00","28.70","49.70",,,"1","5","2","5","7","3","1",,,,,,,,,"10002","0","1","8","305",,"276","267",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T01:00:00","28.80","49.40",,,"1","5","2","5","7","3","1",,,,,,,,,"9999","8","4","8","320",,"304","300",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T02:00:00","28.80","49.10",,,"1","5","2","5","6","3","1",,,,,,,,,"10005","3","2","8","302",,"283","276",,,,,"A",,"A","A",,,,,,,"218","89","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T03:00:00","28.90","48.90",,,"1","5","2","5","6","3","1",,,,,,,,,"10012","3","9","8","305",,"297","295",,,,,"A",,"A","A",,,,,,,"218","88","798","172","5","1","2","2","F1FF13","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T04:00:00","28.90","48.60",,,"1","5","2","5","6","3","1",,,,,,,,,"10014","1","16","8","305",,"284","277",,,,,"A",,"A","A",,,,,,,"218","88","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T07:00:00","29.00","48.20",,,"1","5","2","5","6","2","1",,,,,,,,,"10023","1","10","8","333",,"314","309",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T08:00:00","29.00","48.20",,,"1","5","2","5","6","1","1",,,,,,,,,"10023","0","6","8","350",,"312","301",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T09:00:00","29.00","48.20",,,"1","5","2","5","9","0","1",,,,,,,,,"10022","0","1","8","360",,"320","309",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T10:00:00","29.00","48.10",,,"1","5","2","5","6","1","1",,,,,,,,,"10018","8","6","8","348",,"317","309",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T11:00:00","29.00","48.10",,,"1","5","2","5","6","1","1",,,,,,,,,"10011","8","12","8","401",,"334","317",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T12:00:00","29.00","48.10",,,"1","5","2","5","9","0","1",,,,,,,,,"10007","6","14","8",,,"337","318",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F7FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T14:00:00","29.00","48.10",,,"1","5","2","5","9","0","1",,,,,,,,,"10008","5","3","8","395",,"323","303",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,
"KSFF","2022-09-07T15:00:00","29.00","48.10",,,"1","5","2","5","9","0","1",,,,,,,,,"10011","3","4","8","351",,"308","295",,,,,"A",,"A","A",,,,,,,"218","98","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,
