"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2300504","2018-09-01T22:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","307",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-01T23:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","306",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T00:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","306",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T01:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","306",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T02:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T03:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","304",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T04:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T05:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"TBWUK70","2018-09-02T05:00:00","26.90","34.60",,,"1","6","2","5","3","4","1",,"310","3","144","1","96","2","0","10049","5","4","8","289",,,,"3","310","0","0","A","9","A","A",,,,,,,"217","64","798","172","5","1","2","2","11311F","1114111AA11AA1",,"5",,"0",,,,,,,,,
"2300504","2018-09-02T06:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","307",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T07:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","311",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T08:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","322",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
