"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4101709","2018-09-01T11:00:00","17.20","-28.79",,,"1","3","2","5",,,"11",,,,,,,,,"10108",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T11:00:00","19.72","-23.36",,,"1","5","2","5","1","4","1",,,,,,,,,"10138","2","25","8","245",,,"215",,,,,,,,,,,,,,,"283","93","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"1300001","2018-09-01T12:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","201",,"75",,,,,"10123",,,"8","270",,,,"9","269",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T12:00:00","17.19","-28.82",,,"1","3","2","5",,,"11",,,,,,,,,"10106",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T12:00:00","19.93","-23.19",,,"1","5","2","5","1","4","1",,,,,,,,,"10136","2","12","8","247",,,"211",,,,,,,,,,,,,,,"283","93","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PCBZ","2018-09-01T12:00:00","12.70","-23.30",,,"1","4","0","0","1","3","1","0","180","3","118",,"99","1","2",,,,"0","280","0","250","239","1","255","6","2","1","4","5","0",,,,,,,"283","23","992","114","5","1","2","2","111561","11111111111AAA",,,"1","2",,,,,,,,,"4"
"1300001","2018-09-01T13:00:00","11.48","-22.98",,,"1","5","2","5",,,"11",,"210",,"78",,,,,"10120",,,"8","272",,,,"9","270",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T13:00:00","17.19","-28.84",,,"1","3","2","5",,,"11",,,,,,,,,"10102",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T14:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","199",,"76",,,,,"10115",,,"8","266",,,,"9","270",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T14:00:00","17.19","-28.86",,,"1","3","2","5",,,"11",,,,,,,,,"10097",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T15:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","196",,"82",,,,,"10111",,,"8","267",,,,"9","271",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T15:00:00","17.19","-28.89",,,"1","3","2","5",,,"11",,,,,,,,,"10092",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T16:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","202",,"69",,,,,"10108",,,"8","269",,,,"9","270",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T16:00:00","17.19","-28.91",,,"1","3","2","5",,,"11",,,,,,,,,"10087",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"1300001","2018-09-01T17:00:00","11.48","-22.98",,,"1","5","2","5",,,"11",,"220",,"72",,,,,"10106",,,"8","272",,,,"9","271",,,,,,,,,,,,,"283","12","798","172","6","0",,"2","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T17:00:00","17.19","-28.93",,,"1","3","2","5",,,"11",,,,,,,,,"10082",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"2","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
