"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2301633","2018-09-02T03:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-02T03:00:00","22.90","59.70",,,"1","6","2","5","7","3","1",,"140","4","62","1","96","2","2","10040","4","0","8","280",,"260","252","1","277","5","4","0","9","6","3",,"3","2","18","5","2","219","29","798","172","5","1","2","2","111111","11141111111111",,"5",,"2",,,,,
"2301633","2018-09-02T04:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T05:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","310",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T06:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","324",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T07:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","338",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T08:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","343",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","5FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-02T08:00:00","23.80","58.80",,,"1","6","2","5","7","4","1",,,"4","0","1","97","3","0","10041","4","0","8","290",,,,"1","300","2","2","1","5","0","0","0","0","0","34","3","2","219","38","798","172","5","1","2","2","11111F","1211111AA11111",,"5",,"0",,,,,
"2301633","2018-09-02T09:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","327",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"9V9375","2018-09-02T09:00:00","26.60","56.40",,,"1","6","2","5","6","3","1",,"180","3","93","1","98","3","1","10040","4","0","8","310",,"280","269","7","318","6",,"A","A","A","A",,"1","1","36","2","1","219","66","798","172","5","1","2","2","111111","11111111111111",,"5",,"1",,,,,
"2301633","2018-09-02T10:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T11:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","315",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T12:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"9V2737","2018-09-02T12:00:00","24.50","56.70",,,"1","6","2","5","9","0","1",,"90","4","67","1","97",,"1",,,,"8","340",,"300","290","3","320","5","5","4","4","2","A",,"4","1",,"4","1","219","46","798","172","5","1","2","2","1111F1","111A1A1111117A",,"5",,"1",,"3","1",,
"2301633","2018-09-02T13:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","316",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T14:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-02T14:00:00","24.90","57.60",,,"1","6","2","5","7","3","1",,"140","4","36","1","96","2","0","10020","4","0","8","305",,"275","263","1","325","3","0","0","9","0","3",,"1","1","14","5","1","219","47","798","172","5","1","2","2","111111","11141111111111",,"5",,"0",,,,,
"2301633","2018-09-02T15:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T16:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","288",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T17:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T18:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","280",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T19:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","277",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T20:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","281",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-02T20:00:00","26.20","56.70",,,"1","6","2","5","8","3","1",,"180","4","41","1","97","0","0","10020","4","0","8","300",,,,"1","320","0","0","0","9","0","0",,"6","2","21","7","1","219","66","798","172","5","1","2","1","11111F","1111111AA11111",,"5",,"0",,,,,
"2301633","2018-09-02T21:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","284",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-02T22:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"9V2737","2018-09-02T22:00:00","24.50","56.70",,,"1","6","2","5","9","0","1",,"140","4","26","1","97",,"1",,,,"8","290",,"270","260","3","320","5","5","4","4","2","A",,"3","1",,"3","1","219","46","798","172","5","1","2","1","1111F1","111A1A1111117A",,"5",,"1","0","2","0",,
"2301633","2018-09-02T23:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T00:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","279",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T01:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-03T01:00:00","26.30","55.50",,,"1","6","2","5","6","4","1",,"120","4","62","1","98","2","0","10007","6","5","8","305",,"290","285","1","326","0","0","0","9","0","0",,"2","1",,,,"219","65","798","172","5","1","2","1","111111","111111111111A1",,"5",,"0",,,,,
"2301633","2018-09-03T02:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","274",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T03:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-03T03:00:00","26.20","55.00",,,"1","6","2","5","6","3","1",,"50","4","72","1","96","2","0","10019","4","0","8","330",,"280","261","1","325","0","0","0","9","0","0",,"2","2","8","4","1","219","65","798","172","5","1","2","2","111111","11141111111111",,"5",,"0",,,,,
"2301633","2018-09-03T04:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","342",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","5FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"DJNY2","2018-09-03T04:00:00","25.70","57.00",,,"1","5","2","5","7","3","1",,"140","4","41","1","97","5","0","10055","7","5",,,,,,,,"2","0","0","9","0","7",,"2","1",,,,"219","57","798","172","5","1","2","2","FF111F","111111AAAA11A1",,"5",,"0",,,,,
"2301633","2018-09-03T05:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,,"219","38","798","172","7","0",,"2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T06:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,,"219","38","798","172","7","0",,"2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T07:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,,"219","38","798","172","7","0",,"2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T08:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,,"219","38","798","172","7","0",,"2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T09:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,,"219","38","798","172","7","0",,"2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-03T09:00:00","25.90","53.30",,,"1","6","2","5","6","3","1",,"90","4","82","1","97","0","0","10020","4","0","8","340",,,,"1","340","0","0","0","9","0","0",,"7","4",,,,"219","53","798","172","5","1","2","2","11411F","1111111AA111A1",,"5",,"0",,,,,
"2301633","2018-09-03T10:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","334",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T11:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","338",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T12:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","333",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T13:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"VRGM8","2018-09-03T13:00:00","25.70","52.20",,,"1","4","0","0","6","3","1","0","130","4","31",,"97","2","0","10004","6","3","0","355","0","309","294","1","348","0","0","0","9","0","0",,"2","0",,,,"219","52","992","114","5","1","2","2","111111","111111111111A1",,,"1","0",,,,,"4"
"2301633","2018-09-03T14:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T15:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T16:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T17:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","286",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T18:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","284",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T19:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","279",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T20:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T21:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-03T22:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","277",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
