"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2101594","2018-09-01T12:00:00","26.94","144.09",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","291",,,,,,,,,,,,,"228","64","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2101597","2018-09-01T12:00:00","26.93","141.29",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","290",,,,,,,,,,,,,"228","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"3EDA4","2018-09-01T12:00:00","26.50","142.00",,,"1","6","2","5","7","4","1",,"100","4","103","1","98","2","1","10104",,,"8","270","0","260","257","3","290","5","5","7","2","7","A",,,,,"4","5","228","62","798","172","5","1","2","1","111111","11111111111A7A",,"5",,"1",,,,,,,,
"2201555","2018-09-01T12:02:00","21.17","142.89",,,"1","4","2","5",,,"11",,,,,,,,,"10089",,,"8",,,,,"9","286",,,,,,,,,,,,,"228","12","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"2101594","2018-09-01T13:00:00","26.94","144.09",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"228","64","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2101597","2018-09-01T13:00:00","26.92","141.29",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","290",,,,,,,,,,,,,"228","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2201555","2018-09-01T13:00:00","21.16","142.89",,,"1","4","2","5",,,"11",,,,,,,,,"10085",,,"8",,,,,"9","286",,,,,,,,,,,,,"228","12","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"2101594","2018-09-01T14:00:00","26.94","144.09",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","288",,,,,,,,,,,,,"228","64","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2101597","2018-09-01T14:00:00","26.92","141.29",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","290",,,,,,,,,,,,,"228","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2201555","2018-09-01T14:00:00","21.14","142.90",,,"1","4","2","5",,,"11",,,,,,,,,"10080",,,"8",,,,,"9","286",,,,,,,,,,,,,"228","12","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"2101594","2018-09-01T15:00:00","26.94","144.09",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"228","64","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2101597","2018-09-01T15:00:00","26.91","141.29",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"228","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
