"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2201566","2018-09-02T02:00:00","21.40","117.23",,,"1","4","2","5",,,"11",,,,,,,,,"10080",,,"8",,,,,,"9","293",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T03:00:00","21.41","117.24",,,"1","4","2","5",,,"11",,,,,,,,,"10080",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T04:00:00","21.41","117.25",,,"1","4","2","5",,,"11",,,,,,,,,"10073",,,"8",,,,,,"9","298",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T05:00:00","21.42","117.25",,,"1","4","2","5",,,"11",,,,,,,,,"10068",,,"8",,,,,,"9","308",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T06:00:00","21.41","117.26",,,"1","4","2","5",,,"11",,,,,,,,,"10062",,,"8",,,,,,"9","304",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T07:00:00","21.41","117.25",,,"1","4","2","5",,,"11",,,,,,,,,"10058",,,"8",,,,,,"9","301",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T08:00:00","21.42","117.24",,,"1","4","2","5",,,"11",,,,,,,,,"10053",,,"8",,,,,,"9","299",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T09:00:00","21.43","117.22",,,"1","4","2","5",,,"11",,,,,,,,,"10053",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T10:00:00","21.45","117.19",,,"1","4","2","5",,,"11",,,,,,,,,"10057",,,"8",,,,,,"9","292",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T11:00:00","21.46","117.17",,,"1","4","2","5",,,"11",,,,,,,,,"10059",,,"8",,,,,,"9","289",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T12:00:00","21.48","117.15",,,"1","4","2","5",,,"11",,,,,,,,,"10062",,,"8",,,,,,"9","290",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T13:00:00","21.50","117.14",,,"1","4","2","5",,,"11",,,,,,,,,"10066",,,"8",,,,,,"9","290",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-02T14:00:00","21.51","117.14",,,"1","4","2","5",,,"11",,,,,,,,,"10070",,,"8",,,,,,"9","289",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T14:00:00","25.20","119.90",,,"1","5","2","5","5","4","1",,,,,,,,,"10069","2","16","8","277",,,,"253",,,,,,,,,,,,,,,"225","59","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T15:00:00","21.53","117.14",,,"1","4","2","5",,,"11",,,,,,,,,"10070",,,"8",,,,,,"9","288",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T15:00:00","24.99","119.70",,,"1","5","2","5","5","4","1",,,,,,,,,"10068","2","11","8","278",,,,"251",,,,,,,,,,,,,,,"225","49","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T16:00:00","21.55","117.14",,,"1","4","2","5",,,"11",,,,,,,,,"10069",,,"8",,,,,,"9","287",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T16:00:00","24.80","119.47",,,"1","5","2","5","5","4","1",,,,,,,,,"10063","7","3","8","277",,,,"237",,,,,,,,,,,,,,,"225","49","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-02T17:00:00","21.56","117.14",,,"1","4","2","5",,,"11",,,,,,,,,"10067",,,"8",,,,,,"9","288",,,,,,,,,,,,,"225","17","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
