"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"2201552","2018-09-01T09:00:00","21.22","137.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","282",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T09:00:00","24.05","135.39",,,"1","4","2","5",,,"11",,,,,,,,,"10059",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T09:00:00","28.90","138.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T09:00:00","25.83","134.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201554","2018-09-01T09:01:00","20.96","130.17",,,"1","4","2","5",,,"11",,,,,,,,,"10076",,,"8",,,,,,"9","293",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T10:00:00","28.92","138.82",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T10:00:00","25.82","134.88",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201554","2018-09-01T10:03:00","20.98","130.18",,,"1","4","2","5",,,"11",,,,,,,,,"10076",,,"8",,,,,,"9","293",,,,,,,,,,,,,"227","0","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T10:04:00","24.05","135.40",,,"1","4","2","5",,,"11",,,,,,,,,"10058",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T11:00:00","21.00","130.19",,,"1","4","2","5",,,"11",,,,,,,,,"10078",,,"8",,,,,,"9","293",,,,,,,,,,,,,"227","10","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T11:00:00","28.94","138.84",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T11:00:00","25.81","134.87",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201552","2018-09-01T11:01:00","21.22","137.81",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","279",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T11:04:00","24.05","135.40",,,"1","4","2","5",,,"11",,,,,,,,,"10053",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T12:00:00","24.05","135.41",,,"1","4","2","5",,,"11",,,,,,,,,"10047",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T12:00:00","21.01","130.20",,,"1","4","2","5",,,"11",,,,,,,,,"10077",,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","10","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T12:00:00","28.95","138.86",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T12:00:00","25.80","134.85",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201552","2018-09-01T12:04:00","21.24","137.74",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","278",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T13:00:00","24.05","135.41",,,"1","4","2","5",,,"11",,,,,,,,,"10043",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T13:00:00","21.03","130.21",,,"1","4","2","5",,,"11",,,,,,,,,"10073",,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","10","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T13:00:00","28.95","138.89",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T13:00:00","25.80","134.83",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201552","2018-09-01T13:03:00","21.28","137.68",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"2201552","2018-09-01T14:00:00","21.32","137.63",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","275",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T14:00:00","24.05","135.41",,,"1","4","2","5",,,"11",,,,,,,,,"10038",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T14:00:00","21.04","130.21",,,"1","4","2","5",,,"11",,,,,,,,,"10070",,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","10","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T14:00:00","28.96","138.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T14:00:00","25.80","134.81",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201552","2018-09-01T15:00:00","21.38","137.58",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","273",,,,,,,,,,,,,"227","17","798","172","7","0",,"1","1FFF6F","1AAAA9AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T15:00:00","28.96","138.94",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","290",,,,,,,,,,,,,"227","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
