"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"SNDP5","2016-09-01T03:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10109",,,"0","273",,,,,"1","265",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T03:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10109",,,"0","274",,,,,"1","266",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T03:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10110",,,"0","275",,,,,"1","266",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"5100628","2016-09-01T03:45:00","24.33","-175.56",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"232","45","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"SNDP5","2016-09-01T03:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10110",,,"0","269",,,,,"1","266",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"5100628","2016-09-01T03:49:00","24.33","-175.56",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"232","45","798","172","7","1","2","2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2016-09-01T03:51:00","24.34","-175.56",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"232","45","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4600761","2016-09-01T03:52:00","23.00","-170.38",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","280",,,,,,,,,,,,"232","30","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2016-09-01T03:54:00","24.34","-175.56",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"232","45","798","172","7","1","2","2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"SNDP5","2016-09-01T03:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10110",,,"0","268",,,,,"1","266",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
