"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"C6YM7","2016-09-03T18:00:00","25.70","35.70",,,"1","4","0","0","3","4",,"1","0","320","4","72",,"95",,,"10160",,,"0","280","0","250","239","1","310","3","3","A","7","A","A",,,,,,,"217","55","992","114","5","1","2","1","111151","111AA111111AAA",,"3",,,"4"
"CQGT","2016-09-03T18:00:00","20.30","39.30",,,"1","4","0","0","0","0",,"1","0","10","4","46",,"98","2","2","10070","3","1","0","320","0","280","267","3","325","4",,"4","5","6","5",,"4","1",,,,"217","9","992","114","5","1","2","1","111111","111111111111A1",,"1","2",,"4"
"DJBF2","2016-09-03T18:00:00","22.90","36.90",,,"1","4","0","0","3","4","1","1","0","350","4","62",,"97","0","0","10062","3","5","0","294",,,"254","1","292","1",,"0","A","A","A",,"6","2","0",,,"217","26","992","114","5","1","2","1","111111","1111111A111131",,"1","0","0","4"
"WLMQ","2016-09-03T18:00:00","20.00","38.90",,,"1","4","0","0","4","3",,"1","0","20","4","46",,"96","2","2","10060","2","17","0","310","0","290","283",,,"0","0","A","9","A","A",,"4","3",,,,"217","8","992","114","5","1","2","1","F11111","111411111A11A1",,"1","2",,"4"
"WHIA","2016-09-03T20:00:00","29.20","32.60",,,"1","4","0","0","3","3",,"1","0","350","4","72",,,,,"10101","5","10","0","290","0","245","224","1","266",,,,"A",,,,,,,,,"217","92","992","114","5","1","2","1","111111","11AAA111118AA1",,"1",,,"4"
"C6YM7","2016-09-04T00:00:00","28.10","33.30",,,"1","4","0","0","3","3",,"1","0","310","4","87",,"98","2","0","10160","4","0","3","250","0","220","210","1","280","2","2","1","4","A","A",,,,,,,"217","83","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,"4"
"TBWUK63","2016-09-04T00:00:00","27.30","34.30",,,"1","4","0","0","7","3",,"1","0","320","4","103",,"98","0","0","10100",,,"0","270","0","240","226","1","280","2",,"4","5","A","A",,"3","4",,,,"217","74","992","114","5","1","2","1","111111","111111111111AA",,"1","0",,"4"
"C6YM7","2016-09-04T06:00:00","22.90","37.30",,,"1","4","0","0","3","4",,"1","0","330","4","103",,"95",,,"10160",,,"0","300","0","280","274","1","320","7","7","6","6","A","A",,,,,,,"217","27","992","114","5","1","2","2","111151","111AA111111AAA",,"3",,,"4"
"V7CY9","2016-09-04T06:00:00","20.10","38.80",,,"1","4","0","0","7","2",,"1","0","290","4","51",,"97",,,"10070",,,"0","350","0","300","283",,,"5","5","0","A","1","0",,"2","1","33","4","1","217","8","992","114","5","1","2","2","F31111","111AA1111A111A",,"1",,,"4"
"WHIA","2016-09-04T06:00:00","27.30","34.10",,,"1","4","0","0","4","3",,"1","0","320","4","93",,,,,"10114","5","19","0","290","0","260","248","1","272",,,,"A",,,,,,,,,"217","74","992","114","5","1","2","2","111111","11AAA111118AA1",,"1",,,"4"
"TBWUK63","2016-09-04T07:00:00","28.40","33.10",,,"1","4","0","0","7","3",,"1","0","320","4","67",,"98","2","0","10135","2","25","0","280","0","240","221","1","270","6","5","1","6","4","5",,"7","3",,,,"217","83","992","114","5","1","2","2","111111","111111111111A1",,"1","0",,"4"
"C6YM7","2016-09-04T12:00:00","26.70","34.50",,,"1","4","0","0","2","4",,"1","0","310","4","82",,"98","2","1","10170","1","10","3","300","0","250","230","1","280","3","3","1","4","A","A",,"4","2","1","6","4","217","64","992","114","5","1","2","2","111151","11111111111111",,"1","1",,"4"
"D5BU7","2016-09-04T12:00:00","24.90","35.90",,,"1","4","0","0","3","4",,"1","0","330","4","103",,"98","5","0","10098","7","17","0","322",,,"260","3","302","0","0","0","9","0","0",,"4","2","34","6","2","217","45","992","114","5","1","2","2","111111","1111111A111111",,"1","0",,"4"
"DDOR2","2016-09-04T12:00:00","24.80","36.20",,,"1","4","0","0","3","4","1","1","0","330","4","93",,"97","2","0","10099","5","4","0","303",,,"249","1","302",,,"6","A","1","A",,"3","2","33","4","2","217","46","992","114","5","1","2","2","111111","1111111A118111",,"1","0",,"4"
"WHIA","2016-09-04T12:00:00","26.00","34.90",,,"1","4","0","0","3","3",,"1","0","330","4","77",,"98","2",,"10100","7","18","0","350","0","280","253","1","280","0","0","A","9","A","A",,"3","0",,,,"217","64","992","114","5","1","2","2","151111","1411A1111114A1",,"1",,,"4"
"TBWUK63","2016-09-04T16:00:00","29.70","32.50",,,"1","4","0","0","0","0",,"1","0","10","4","103",,"97",,"0","10116","2",,"0","320","0","270","250","1","280","1","1","1","7","0","5",,"3","1","0",,,"217","92","992","114","5","1","2","1","131111","111A1111111137",,"1","0","0","4"
"C6YM7","2016-09-04T17:00:00","20.10","38.90",,,"1","4","0","0","3","4",,"1","0","360","4","134",,"95",,,"10120",,,"0","320","0","280","267","1","320","7","7","A","7","A","A",,,,,,,"217","8","992","114","5","1","2","1","111411","111AA111111AAA",,"3",,,"4"
"WHIA","2016-09-04T18:00:00","24.70","35.70",,,"1","4","0","0","3","3",,"1","0","330","4","77",,,,,"10104","5","8","0","300","0","260","243","1","275",,,,"A",,,,,,,,,"217","45","992","114","5","1","2","1","111111","11AAA111118AA1",,"1",,,"4"
"C6YM7","2016-09-05T00:00:00","24.20","36.50",,,"1","4","0","0","3","3",,"1","0","320","4","93",,"98","2","0","10160","4","0","3","270","0","260","260","1","310","3","3","1","3","A","A",,,,,,,"217","46","992","114","5","1","2","1","111151","11111111111AA1",,"1","0",,"4"
"DDOR2","2016-09-05T00:00:00","22.10","38.30",,,"1","4","0","0","3","3","1","1","0","320","4","87",,"97","2","2","10089","8","8","0","293",,,"240","1","305",,,,"A",,,,,,,,,"217","28","992","114","5","1","2","1","111111","1111111A118AA1",,"1","2",,"4"
"V7CY9","2016-09-05T00:00:00","22.30","37.60",,,"1","4","0","0","7","2",,"1","0","250","4","108",,"97",,,"10070",,,"0","290","0","270","262",,,"0","0","0","9","0","0",,,,,,,"217","27","992","114","5","1","2","1","F13111","111AA1111A1AAA",,"1",,,"4"
"WHIA","2016-09-05T00:00:00","23.60","36.50",,,"1","4","0","0","3","3",,"1","0","330","4","87",,,,,"10084","7","15","0","290","0","270","262","1","280",,,,"A",,,,,,,,,"217","36","992","114","5","1","2","1","111111","11AAA111118AA1",,"1",,,"4"
"V7CY9","2016-09-05T06:00:00","23.10","37.10",,,"1","4","0","0","7","2",,"1","0","270","4","93",,"97",,,"10080",,,"0","330","0","270","246",,,"4","1","5","5","7","0",,"8","6",,,,"217","37","992","114","5","1","2","2","F13111","111AA1111A11AA",,"1",,,"4"
"WHIA","2016-09-05T06:00:00","22.30","37.20",,,"1","4","0","0","3","3",,"1","0","310","4","108",,,,,"10098","5","6","0","320","0","270","250","1","308",,,,"A",,,,,,,,,"217","27","992","114","5","1","2","2","111111","11AAA111118AA1",,"1",,,"4"
"C6YM7","2016-09-05T12:00:00","21.40","38.30",,,"1","4","0","0","3","4",,"1","0","320","4","134",,"98","2","1","10150","6","10","3","330","0","270","250","1","320","8","8","A","5","1","A",,"6","5","32","9","8","217","18","992","114","5","1","2","2","111151","11111111111111",,"1","1",,"4"
"TBWUK52","2016-09-05T12:00:00","25.10","36.00",,,"1","4","0","0","3","4",,"1","0","350","3","87",,"98","5","0","10105","8","21","0","335","0","270","243","3","306","1","1","1","6","0","0",,"4","1","17","10","2","217","56","992","114","5","1","2","2","131111","11111111111111",,"1","0",,"4"
"VRAR6","2016-09-05T12:00:00","20.30","38.60",,,"1","4","0","0","7","5",,"1","0","340","1","110",,"97","6",,"10058","8","10","0","323","0","271","250","1","320","0","0","0","9","0","0",,"4","4",,,,"217","8","992","114","5","0",,"2","111111","1111A1111111A1",,"1",,,"4"
"WHIA","2016-09-05T12:00:00","21.10","37.90",,,"1","4","0","0","3","3",,"1","0","330","4","129",,"98","2","0","10069","7","16","0","360","0","290","264","1","280","0","0","A","9","A","A",,"3","2","35","5","4","217","17","992","114","5","1","2","2","151111","11111111111111",,"1","0",,"4"
"V7CY9","2016-09-06T00:00:00","25.70","35.60",,,"1","4","0","0","7","2",,"1","0","270","4","93",,"98",,,"10075",,,"0","300","0","260","243",,,"0","0","0","9","0","0",,,,,,,"217","55","992","114","5","1","2","1","F11111","111AA1111A1AAA",,"1",,,"4"
"DGZL","2016-09-06T03:00:00","20.10","38.70",,,"1","4","0","0","7","4","1","1","0","340","4","98",,"98","1","0","10052","5","2","0","319",,,"260","1","310","0","0","0","9","0","0",,"3","4","34","5","6","217","8","992","114","5","1","2","1","111111","1111111A111111",,"1","0",,"4"
"DGZL","2016-09-06T06:00:00","21.00","38.30",,,"1","4","0","0","7","4","1","1","0","360","4","98",,"98","5","0","10067","0","13","0","318",,,"261","1","310","0","0","0","9","0","0",,"3","4","34","5","7","217","18","992","114","5","1","2","2","111111","1111111A111111",,"1","0",,"4"
"V7CY9","2016-09-06T06:00:00","26.60","35.10",,,"1","4","0","0","7","2",,"1","0","270","4","87",,"97",,,"10100",,,"0",,"0","280","244",,,"0","0","0","9","0","0",,"5","4","32","5","10","217","65","992","114","5","1","2","2","F71111","111AA1666A111A",,"1",,,"4"
"DGZL","2016-09-06T09:00:00","21.80","37.80",,,"1","4","0","0","7","4","1","1","0","330","4","129",,"97","5","0","10062","0","5","0","338","0","276","252","1","300","0","0","0","9","0","0",,"4","2","33","8","6","217","17","992","114","5","1","2","2","111111","11111111111111",,"1","0",,"4"
"DGZL","2016-09-06T12:00:00","22.50","37.30",,,"1","4","0","0","7","4","1","1","0","330","4","129",,"97","5","2","10062","6","5","0","327",,,"258","1","310","6","6","6","6","A","7",,"4","7",,,,"217","27","992","114","5","1","2","2","111111","1111111A1111A1",,"1","2",,"4"
"OXOR2","2016-09-06T12:00:00","23.30","36.60",,,"1","4","0","0","3","4","1","1","0","350","4","129",,"97","2","0","10068","7","23","0","320","0","270","253","3","310","2",,"1","5","0","0",,"3","2","34","5","6","217","36","992","114","5","1","2","2","111211","11111111111111",,"1","0",,"4"
"DGZL","2016-09-06T15:00:00","23.40","36.80",,,"1","4","0","0","7","4","1","1","0","350","4","144",,"97","3","0","10058","5","0","0","314",,,"243","1","300","4","3","0","9","3","8",,"4","7",,,,"217","36","992","114","5","1","2","2","111211","1111111A1111A1",,"1","0",,"4"
"DGZL","2016-09-06T18:00:00","24.20","36.30",,,"1","4","0","0","7","4","1","1","0","340","4","108",,"98","2","0","10073","0","12","0","311",,,"237","1","300",,,,"A",,,,,,,,,"217","46","992","114","5","1","2","1","111111","1111111A118AA1",,"1","0",,"4"
"DGZL","2016-09-06T21:00:00","25.00","35.80",,,"1","4","0","0","7","4","1","1","0","340","4","98",,"98","2","0","10078","0","9","0","308","0","231","191","1","300","0","0","0","9","0","0",,,,,,,"217","55","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,"4"
"DGZL","2016-09-07T00:00:00","25.70","35.40",,,"1","4","0","0","7","4","1","1","0","340","4","123",,"97","0","0","10078","6","8","0","300",,,"214","1","290",,,,"A",,,,,,,,,"217","55","992","114","5","1","2","1","111111","1111111A118AA1",,"1","0",,"4"
"V7CY9","2016-09-07T00:00:00","28.70","32.90",,,"1","4","0","0","7","2",,"1","0","300","4","98",,"98",,,"10120",,,"0","270","0","230","210",,,"0","0","0","9","0","0",,,,,,,"217","82","992","114","5","1","2","1","F11111","111AA1111A1AAA",,"1",,,"4"
"DGZL","2016-09-07T03:00:00","26.60","34.70",,,"1","4","0","0","7","4","1","1","0","330","4","154",,"98","2","0","10084","3","10","0","281",,,"221","1","280",,,,"A",,,,,,,,,"217","64","992","114","5","1","2","1","111111","1111111A118AA1",,"1","0",,"4"
"DGZL","2016-09-07T06:00:00","27.50","34.20",,,"1","4","0","0","7","4","1","1","0","330","4","139",,"98","0","0","10094","2","13","0","281",,,"211","1","270","0","0","0","9","0","0",,"3","5",,,,"217","74","992","114","5","1","2","2","111111","1111111A1111A1",,"1","0",,"4"
"DGZL","2016-09-07T09:00:00","28.00","33.50",,,"1","4","0","0","7","4","1","1","0","310","4","154",,"98","5","0","10096","8","3","0","281","0","226","197","1","270","0","0","0","9","0","0",,"4","7","32","7","10","217","83","992","114","5","1","2","2","115111","11111111111111",,"1","0",,"4"
"DGZL","2016-09-07T21:00:00","29.80","32.50",,,"1","4","0","0","0","0","1","1","0","10","4","62",,"98","0","0","10133","8","8","0","248","0","200","171","1","270","0","0","0","9","0","0",,,,,,,"217","92","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,"4"
"WDE9586","2016-09-08T06:00:00","20.20","38.60",,,"1","4","0","0","8","3",,"1","0","340","4","93",,"97","5","0","10060","1",,"0","300","0","270","258","1","320","0","0","A","9","A","A",,,,,,,"217","8","992","114","5","1","2","2","111111","11111111111AA7",,"1","0",,"4"
"WMHA","2016-09-08T06:00:00","21.60","37.70",,,"1","4","0","0","3","3",,"1","0","330","4","72",,"98",,"2","10066","2","24","0","290","0","260","248","1","300","6",,"A","A","7","A",,"4","2","34","5","2","217","17","992","114","5","1","2","2","111111","111A1111111111",,"1","2",,"4"
"WDE9586","2016-09-08T18:00:00","22.40","37.40",,,"1","4","0","0","7","3",,"1",,,,,,"98",,,"10060",,,"0","300","0","290","287","1","320",,,,"A",,,,,,,,,"217","27","992","114","5","0",,"1","11FF11","1A1AA111118AAA",,"1",,,"4"
"WDE9586","2016-09-09T00:00:00","23.40","36.70",,,"1","4","0","0","7","3",,"1","0","270","4","51",,"98","2",,"10060","0",,"0","280","0","260","252","1","310","0","0","A","9","A","A",,,,,,,"217","36","992","114","5","1","2","1","111111","1111A111111AA7",,"1",,,"4"
"WDE9586","2016-09-09T06:00:00","24.40","36.00",,,"1","4","0","0","7","3",,"1","0","330","4","41",,"98","2",,"10080","1",,"0","280","0","240","221","1","300","0","0","A","9","A","A",,,,,,,"217","46","992","114","5","1","2","2","111111","1111A111111AA7",,"1",,,"4"
