"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"IDDEU04","2016-09-06T01:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10094",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T02:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10091",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T03:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10097",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T04:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10109",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T05:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10123",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T06:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10128",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T07:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10134",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"VRLA5","2016-09-06T07:00:00","10.70","-17.00",,,"1","4","0","0","7","3","1","1","0","300","4","26",,"98","13","2","10139",,,"0","271","0","260","256","1","290","7","4","2","3","7","5","4","1","18","11","2","284","7","992","114","5","1","2","1","111111","1111111111111A",,"1","2",,,,,,,,,"4",,
"IDDEU04","2016-09-06T08:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10129",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T09:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10137",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T10:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10138",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T11:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10137",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
"IDDEU04","2016-09-06T12:00:00","18.00","-16.00",,,"1","4","0","0",,,,"1",,,,,,,,,"10136",,,,,,,,,,,,,"A",,,,,,,,"284","86","992","114","5","1","2","2","FFFF1F","1AAAA1AAAA8AAA",,"6",,,,,,,,,,"4",,
