"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"DGWF2","2017-09-10T10:00:00","22.00","-110.50",,,"1","6","2","5","7","4",,"1",,"360",,"77","1","98","2","1","10099","6","6","8","270",,,"235","1","280","5","5","8","5","9","2","36","3","3",,,,"238","20","798","172","5","0",,"1","111111","1111111A1111A1","5",,"1",,,,,,
"A8JE6","2017-09-10T12:00:00","28.50","-119.30",,,"1","5","2","5","7","3",,"1",,"360","4","82","1","98","2","2","10160","4","0","8","205",,"180","167",,,"7","3","7","2","7","0",,"5","3",,,,"238","89","798","172","5","1","2","1","F11111","111111111A11A1","5",,"2",,,,,,
"A8MW6","2017-09-10T12:00:00","29.60","-117.90",,,"1","6","2","5","3","4",,"1",,"350","1","150","1","98","2","2","10156","4","0","8","205",,"183","171","3","250","7","7","0","9","1","0",,"4","2","29","12","3","238","97","798","172","5","1","2","1","311411","11111111111111","5",,"2",,,,,,
"CQGU","2017-09-10T14:00:00","24.60","-113.20",,,"1","6","2","5","7","3",,"1",,"310","4","77","1","97","0","0","10110","3","5","8","240",,"220","211","3","260","6","5","6","3","0","0",,"10","4",,,,"238","43","798","172","5","1","2","2","111111","111111111111A1","5",,"0",,,,,,
"DGWF2","2017-09-10T22:00:00","24.20","-113.60",,,"1","6","2","5","7","4",,"1",,"360",,"51","1","98","3","2","10103","7","9","8","260",,,"203","1","250","6","6","7","3","7","2","36","2","1",,,,"238","43","798","172","5","0",,"2","111111","1111111A1111A1","5",,"2",,,,,,
"A8MW6","2017-09-11T01:00:00","27.10","-115.50",,,"1","6","2","5","3","4",,"1",,"310","1","140","1","98","2","1","10122","6","30","8","237",,"205","190","3","260","4","2","1","4","4","0",,"4","2","30","12","3","238","75","798","172","5","1","2","2","113111","11111111111111","5",,"1",,,,,,
"A8MW6","2017-09-11T12:00:00","24.60","-113.10",,,"1","6","2","5","3","4",,"1",,"340","1","110","1","98","3","2","10115","4","0","8","242",,"214","201","3","290","8",,"0","7","7","0",,"4","1","30","13","3","238","43","798","172","5","1","2","1","111111","14111111111411","5",,"2",,,,,,
"SHIP","2017-09-11T17:00:00","21.50","-119.20",,,"1","5","2","5","7","3",,"2",,"30","4","87","1","98","3","1","10135","1","50","8",,"0",,,,,"4","3","3","6","3","3",,"4","2","8","4","2","238","19","798","172","5","0",,"2","FF111F","111111A11A1111","5",,"1","7","4","2",,,
"DGWF2","2017-09-11T18:00:00","28.10","-119.20",,,"1","6","2","5","7","4",,"1",,"350",,"36",,,"3","0","10142",,,"8","225",,,"158","1","220",,,"A",,"A","A",,,,,,,"238","89","798","172","5","1","2","2","111111","11A1111A118AAA","5",,"0",,,,,,
"A8MW6","2017-09-12T00:00:00","22.40","-110.50",,,"1","6","2","5","3","4",,"1",,"350","1","80","1","98","2","0","10105","4","0","8","287",,"250","236","3","330","2","0","0","9","0","5",,"2","1","22","13","3","238","20","798","172","5","1","2","2","311111","11111111111111","5",,"0",,,,,,
