"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"2100911","2017-09-01T10:00:00","24.06","-145.65",,,"1","4","2","5",,,"11",,,,,,,,,"10187",,,"8",,,,,"9","251",,,,,,,,,,,,,"235","45","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T10:00:00","26.69","-145.15",,,"1","4","2","5",,,"11",,,,,,,,,"10201",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5100540","2017-09-01T10:00:00","29.05","-145.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"235","95","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"2100915","2017-09-01T10:10:00","26.38","-143.81",,,"1","4","2","5",,,"11",,,,,,,,,"10193",,,"8",,,,,"9","256",,,,,,,,,,,,,"235","63","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100575","2017-09-01T10:20:00","24.94","-149.40",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","266",,,,,,,,,,,,,"235","49","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T10:30:00","26.69","-145.16",,,"1","4","2","5",,,"11",,,,,,,,,"10200",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100911","2017-09-01T11:00:00","24.00","-145.72",,,"1","4","2","5",,,"11",,,,,,,,,"10182",,,"8",,,,,"9","251",,,,,,,,,,,,,"235","45","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T11:00:00","26.69","-145.16",,,"1","4","2","5",,,"11",,,,,,,,,"10198",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5100540","2017-09-01T11:00:00","29.05","-145.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"235","95","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"2100915","2017-09-01T11:10:00","26.38","-143.81",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","256",,,,,,,,,,,,,"235","63","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
