"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"2100575","2017-09-01T11:20:00","24.89","-149.47",,,"1","4","2","5",,,"11",,,,,,,,,"10185",,,"8",,,,,"9","266",,,,,,,,,,,,,"235","49","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T11:30:00","26.69","-145.16",,,"1","4","2","5",,,"11",,,,,,,,,"10194",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100911","2017-09-01T12:00:00","24.06","-145.65",,,"1","4","2","5",,,"11",,,,,,,,,"10178",,,"8",,,,,"9","251",,,,,,,,,,,,,"235","45","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T12:00:00","26.70","-145.16",,,"1","4","2","5",,,"11",,,,,,,,,"10191",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5100540","2017-09-01T12:00:00","29.00","-145.77",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","261",,,,,,,,,,,,,"235","95","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"2100915","2017-09-01T12:10:00","26.37","-143.86",,,"1","4","2","5",,,"11",,,,,,,,,"10183",,,"8",,,,,"9","256",,,,,,,,,,,,,"235","63","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100575","2017-09-01T12:20:00","24.94","-149.40",,,"1","4","2","5",,,"11",,,,,,,,,"10180",,,"8",,,,,"9","265",,,,,,,,,,,,,"235","49","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T12:30:00","26.70","-145.16",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100911","2017-09-01T13:00:00","24.00","-145.71",,,"1","4","2","5",,,"11",,,,,,,,,"10176",,,"8",,,,,"9","251",,,,,,,,,,,,,"235","45","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T13:00:00","26.70","-145.16",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5100540","2017-09-01T13:00:00","29.00","-145.77",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","261",,,,,,,,,,,,,"235","95","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"2100915","2017-09-01T13:10:00","26.37","-143.86",,,"1","4","2","5",,,"11",,,,,,,,,"10181",,,"8",,,,,"9","256",,,,,,,,,,,,,"235","63","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100575","2017-09-01T13:20:00","24.89","-149.47",,,"1","4","2","5",,,"11",,,,,,,,,"10176",,,"8",,,,,"9","265",,,,,,,,,,,,,"235","49","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T13:30:00","26.70","-145.17",,,"1","4","2","5",,,"11",,,,,,,,,"10188",,,"8",,,,,"9","254",,,,,,,,,,,,,"235","65","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
