"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"4100047","2017-09-01T01:40:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","170","1","50",,,,,"10185",,,,"271",,,,"243","1","301",,,,,,,,,,,,,"242","71","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,"4"
"3100863","2017-09-01T01:50:00","24.56","-75.61",,,"1","3","2","5",,,,"11",,,,,,,,,"10177",,,,,,,,,,,,,,,,,,,,,,,"242","45","798","172","7","1","2","1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,
"4100010","2017-09-01T01:50:00","29.50","-78.10",,,"1","4",,"0",,,,"11","0","150","1","20",,,,,"10175",,,,"290",,,,"239","1","301",,,,,,,,"11","3",,"11","3","242","98","793","103","6","1","2","1","111111","11AAA11A11A17A",,,"6",,,,,,,,"4"
"4100047","2017-09-01T01:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","190","1","40",,,,,"10185",,,,"278",,,,"241","1","301",,,,,,,,"5","1","1","11","5","242","71","793","103","6","1","2","1","111111","11AAA11A11A11A",,,"6",,,,,,,,"4"
"4100599","2017-09-01T01:50:00","27.03","-77.80",,,"1","3","2","5",,,,"11",,,,,,,,,"10180",,,,,,,,,,,,,,,,,,,,,,,"242","77","798","172","7","1","2","1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,
"1301502","2017-09-01T02:00:00","23.19","-71.87",,,"1","4","2","5",,,,"11",,,,,,,,,"10188",,,"8",,,,,,"9","295",,,,,,,,,,,,,"242","31","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"3201555","2017-09-01T02:00:00","23.43","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","30","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4100010","2017-09-01T02:00:00","29.50","-78.10",,,"1","4",,"0",,,,"11","0","130","1","20",,,,,"10176","3","12",,"290",,,,"239","1","301",,,,,,,,,,,,,"242","98","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,"4"
"4100047","2017-09-01T02:00:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","180","1","30",,,,,"10186","3","8",,"281",,,,"240","1","301",,,,,,,,,,,,,"242","71","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,"4"
"4100543","2017-09-01T02:00:00","25.58","-70.59",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","297",,,,,,,,,,,,,"242","50","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
