"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"CQGU","2017-09-09T10:00:00","20.10","-106.90",,,"1","6","2","5","7","3",,"1",,"310","4","36","1","98","3","2","10102","5","7","8","265",,"255","251","3","290","6","6","3","5","A","A",,,,,,,"239","6","798","172","5","1","2","1","111111","11111111111AA1",,"5",,"2",,
"CQGU","2017-09-09T13:00:00","20.70","-107.70",,,"1","6","2","5","7","3",,"1",,"310","4","77","1","98","2","2","10110","3","3","8","280",,"270","267","3","285","3","2","1","5","0","0",,"5","3",,,,"239","7","798","172","5","1","2","1","111111","111111111111A1",,"5",,"2",,
"D5CL4","2017-09-09T18:00:00","20.80","-107.80",,,"1","6","2","5","3","3",,"1",,"10","4","41","1","98","2","0","10135","4","0","8","295",,"250","233","3","270","3","2","1","5","A","5",,"5","1","35","8","2","239","7","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,
"A8OF7","2017-09-10T20:00:00","20.30","-107.00",,,"1","5","2","5","7","4",,"1",,"330","1","80","1","98",,"2","10090",,,"8","315",,"300","296",,,,,"6",,"2","8",,"3","2","35",,,"239","7","798","172","5","1","2","2","F11111","111A11111A817A",,"5",,"2",,
"A8LL8","2017-09-10T21:00:00","21.30","-108.50",,,"1","6","2","5","3","4",,"1",,"320","3","46","1","98","2","0","10120","0","10","8","280",,"270","267","3","290","3","3","1","2","6","4",,"2","1",,,,"239","18","798","172","5","1","2","2","111111","111111111111A1",,"5",,"0",,
"A8MW6","2017-09-12T07:00:00","21.50","-109.00",,,"1","6","2","5","3","4",,"1",,"80",,"36","1","98",,"0","10110","0","0","8","270","0","260","257","3","300","2","2","4","4","0","0","8","2","1","20","10","3","239","19","798","172","5","0",,"1","111111","111A1111111111",,"5",,"0",,
"VROX6","2017-09-13T15:00:00","21.00","-107.80",,,"1","4","0","0","7","4",,"1","0","90","3","26",,"98","2","1","10108","2","6","0","290",,,,"1","295","4","3","1","A","0","A",,"99","1","18","4","2","239","17","992","114","5","1","2","2","11111F","1111111AA11311",,,"1","1",,"4"
"VROX6","2017-09-13T18:00:00","21.60","-108.60",,,"1","4","0","0","7","4",,"1","0",,"3",,,"98","2","0","10105","8","3","0","300","0","270","258","1","290","1","1","1","4","0","0",,"99",,"19","5","4","239","18","992","114","5","1","2","2","11FF11","11111111111711",,,"1","0",,"4"
"2ILJ7","2017-09-14T18:00:00","21.30","-108.80",,,"1","4","0","0","7","3",,"1","0","70","4","46",,"97","1","2","10110","2","10","0","310","0","270","254","1","300","2","2","4","6","4","3",,"10","3","38","8","5","239","18","992","114","5","1","2","2","111111","11111111111111",,,"1","2",,"4"
"CQIB5","2017-09-14T18:00:00","20.10","-107.20",,,"1","6","2","5","7","3",,"1",,"140","4","77","1","98","2","2","10130","3","10","8",,,"300","274","1","300","5","5","2","6","6","6",,"5","2",,,,"239","7","798","172","5","1","2","2","171112","111111666111A1",,"5",,"2",,
"CQIB5","2017-09-15T00:00:00","20.60","-108.40",,,"1","6","2","5","7","3",,"1",,"130","4","108","1","97",,"1","10100",,,"8","290",,,,"1","280","7","7","6","2","5","4",,"7","5",,,,"239","8","798","172","5","1","2","2","11211F","111A111AA111AA",,"5",,"1",,
"CQIB5","2017-09-15T06:00:00","21.10","-109.60",,,"1","4","0","0","7","3",,"1","0","90","4","67",,"98","2","0","10110","4","0","0","280","0","260","252","1","290",,,,"A",,,,"2","1",,,,"239","19","992","114","5","1","2","1","111111","111111111181A1",,,"1","0",,"4"
"OWNT2","2017-09-15T12:00:00","22.30","-109.90",,,"1","6","2","5","2","4",,"1",,"10","4","46","1","98","13","0","10093","8","9","8","273",,"260","255","1","306","1","1","1","3","0","0",,"2","1","16","8","4","239","29","798","172","5","1","2","1","111111","11111111111111",,"5",,"0",,
"OWNT2","2017-09-15T18:00:00","21.40","-108.20",,,"1","6","2","5","3","4",,"1",,"110","4","72","1","97","2","5","10101","2","6","8","295",,"263","250","1","308","7","7","0","7","7","A",,"4","2","18","10","5","239","18","798","172","5","1","2","2","111111","11111111111111",,"5",,"2",,
"OWNT2","2017-09-16T00:00:00","20.30","-106.80",,,"1","6","2","5","3","4",,"1",,"170","4","82","1","97","58","1","10077","8","10","8","290",,"265","255","1","318","6","5","2","4","7","A",,,,,,,"239","6","798","172","5","1","2","2","111111","11111111111AA1",,"5",,"1",,
"A8LL8","2017-09-17T21:00:00","20.60","-108.40",,,"1","6","2","5","7","4",,"1",,"190","3","123","1","97","3","2","10130","5","10","8","290",,"270","263","3","270","8","8","7","2","A","A",,"3","2","20","6","5","239","8","798","172","5","1","2","2","111511","11111111111111",,"5",,"2",,
"A8NQ7","2017-09-17T22:00:00","20.20","-109.90",,,"1","6","2","5","7","4",,"1",,"230",,"108","1","96","3","2","10075","8","15","8","230","0","230","230","7","280","7","7","7","2","2","0","23","6","4","27","10","5","239","9","798","172","5","0",,"2","121113","11141111111111",,"5",,"2",,
"H3VS","2017-09-18T21:00:00","22.60","-109.60",,,"1","6","2","5","3","4",,"1",,"170","3","77","1","98","2","2","10120","8","10","8","290",,"270","263","3","280","7","4","4","4","1","4",,"11","6","19","11","6","239","29","798","172","5","1","2","2","111311","11111111111111",,"5",,"2",,
"H3VS","2017-09-19T00:00:00","22.10","-108.70",,,"1","6","2","5","3","4",,"1",,"220","3","103","1","98",,,"10110",,,"8","290",,"270","263","3","250","5","5","7","4","9","A",,"2","4","38",,,"239","28","798","172","5","1","2","2","111311","111AA11111117A",,"5",,,,
"H3VS","2017-09-19T09:00:00","20.70","-106.00",,,"1","6","2","5","3","4",,"1",,"330","3","57","1","98","2",,"10130","4","0","8","290",,"270","263","3","310","3","9","A","A","A","A",,"8","4",,,,"239","6","798","172","5","1","2","1","111111","1111A1111131A1",,"5",,,,
"MASKSTID","2017-09-19T09:00:00","20.70","-106.00",,,"1","4",,"0","3","4",,"2","0","330","3","57",,"98","2","0","10130","4","0",,"290","0","270","263","3","310","3",,"A","A","A","A",,"8","4","0",,,"239","6","792","103","5","1","2","1","111111","1111A1111111A1",,,"1","0","0","4"
"H3VS","2017-09-19T12:00:00","20.50","-105.50",,,"1","6","2","5","2","3",,"1",,"110","3","51","1","98",,,"10120",,,"8","290",,"270","263","3","280",,,"A",,"A","A",,,,,,,"239","5","798","172","5","1","2","1","111111","111AA111118AAA",,"5",,,,
"H3VS","2017-09-20T00:00:00","20.60","-105.20",,,"1","4","0","0","0","0",,"1","0","210","3","51",,"98",,,"10110","1",,"0","320","0","290","281","3","280","2","2","1","4","A","A",,"0",,"0",,,"239","5","992","114","5","1","2","2","111111","111AA111111737",,,"1",,"0","4"
"DGAF","2017-09-20T06:00:00","20.90","-107.70",,,"1","6","2","5","7","4",,"1",,"300","4","41","1","98","13","0","10121","0","11","8","270",,,"235","3","300","3","3","A","A","A","A",,,,,,,"239","7","798","172","5","1","2","1","111111","1111111A111AA1",,"5",,"0",,
"C6QM8","2017-09-20T07:00:00","23.00","-109.60",,,"1","5","2","5","3","4",,"1",,"330","4","41","1","98",,"0","10110","4","0","8","250",,"240","235","3","280","2","0","A","A","A","A",,,,,,,"239","39","798","172","5","1","2","1","F1111F","111A111AAA1AA1",,"5",,"0",,
"H3VS","2017-09-20T09:00:00","21.80","-106.10",,,"1","6","2","5","8","4",,"1",,"300","3","93","1","98","13","0","10120","8","10","8","290",,"270","263","3","310","4","2","4","4","7","A",,"10","4",,,,"239","16","798","172","5","1","2","1","111111","111111111111A1",,"5",,"0",,
"H3VS","2017-09-20T12:00:00","22.80","-106.30",,,"1","6","2","5","8","4",,"1",,"330","3","31","1","98",,,"10120",,,"8","280",,"260","253","3","270",,,"A",,"A","A",,"8","2",,,,"239","26","798","172","5","1","2","1","111111","111AA1111181AA",,"5",,,,
"TBWUK89","2017-09-21T04:00:00","23.10","-106.40",,,"1","5","2","5","9","0",,"1",,"310","4","77","1","97","2","0","10099","0","4","8","300",,"265","251",,,"2","2","1","5","0","0",,"8","1","28","11","2","239","36","798","172","5","1","2","1","F11111","111111111A1111",,"5",,"0",,
"H3VS","2017-09-21T09:00:00","22.90","-108.90",,,"1","6","2","5","6","3",,"1",,"260","3","46","1","98","2","0","10110","4","0","8","290",,"270","263","3","300","4","2","A","4","A","A",,"10","2",,,,"239","28","798","172","5","1","2","1","111111","111111111111A1",,"5",,"0",,
"2FRE8","2017-09-22T00:00:00","20.50","-107.50",,,"1","4","0","0","3","4",,"1","0","50","4","51",,"98",,"2","10080","4","0","0","290","0","260","248","1","318","7","7","5","6","6","3",,"1","1","0",,,"239","7","992","114","5","1","2","2","111111","111A1111111131",,,"1","1","0","4"
"TBWUK89","2017-09-22T05:00:00","23.10","-106.40",,,"1","5","2","5","9","0",,"1",,"360","4","31","1","97","0","1","10084","3","3","8","280",,"255","244",,,"5","2","1","4","0","5",,"6","1","29","8","2","239","36","798","172","5","1","2","1","F11111","111111111A1111",,"5",,"1",,
"A8HZ4","2017-09-23T06:00:00","20.60","-109.20",,,"1","6","2","5","3","4",,"1",,"300","4","93",,,,,"10110","4","0","8","270",,"250","241","1","250","4",,"4","6","A","A",,,,,,,"239","9","798","172","5","1","2","1","111111","11AAA111111AA1",,"5",,,,
"D5KA4","2017-09-23T12:00:00","21.90","-109.60",,,"1","6","2","5","3","4",,"1",,"330","3","77","1","98","2","0","10065","6","14","8","255",,,"218","3","250",,,"A",,"A","A",,"5","2",,,,"239","19","798","172","5","1","2","1","111111","1111111A1181A1",,"5",,"0",,
"TBWUK89","2017-09-23T17:00:00","24.30","-109.20",,,"1","5","2","5","7","3",,"1",,"300","4","72","1","98","2","1","10078","2","10","8","285",,"240","219",,,"5",,"0","9","0","4",,"5","1","28","9","2","239","49","798","172","5","1","2","2","F11111","111111111A1111",,"5",,"1",,
"D5KA4","2017-09-23T18:00:00","21.00","-108.00",,,"1","6","2","5","3","4",,"1",,"320","3","77","1","98","3","2","10081","0","2","8","280",,,"234","3","274","7","5","7","3","7","6",,"4","2","32","12","4","239","18","798","172","5","1","2","2","111111","1111111A111111",,"5",,"2",,
"A8PX5","2017-09-23T19:00:00","20.20","-106.80",,,"1","6","2","5","7","4",,"1",,"230","3","77","1","98",,,"10080","0","0","8","270",,"250","241","3","300","8",,"7","A","A","A",,"7","2","23","6","3","239","6","798","172","5","1","2","2","111111","111AA111111111",,"5",,,,
"D5KA4","2017-09-24T00:00:00","20.20","-106.60",,,"1","6","2","5","3","3",,"1",,"330","3","103","1","96","25","2","10050","6","9","8","285",,,"241","3","292","8",,"6","2","A","A",,"6","3",,,,"239","6","798","172","5","1","2","2","111211","1111111A1111A1",,"5",,"2",,
"WDF4764","2017-09-24T00:00:00","20.20","-107.30",,,"1","5","2","5","7","3",,"1",,"310","4","129",,,,,"10088",,,"8","244",,"222","211",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F13111","11AAA1111A8AAA",,"5",,,,
"WDF4764","2017-09-24T12:00:00","21.60","-109.70",,,"1","5","2","5","7","3",,"1",,"290","4","129","1","99",,,"10085",,,"8","244",,"228","220",,,"5",,"A","A","A","A",,,,,,,"239","19","798","172","5","1","2","1","F15111","111AA1111A1AAA",,"5",,,,
"PFRO","2017-09-24T21:00:00","20.10","-106.30",,,"1","4","0","0","7","4",,"1","0","270","4","123",,"97","2","8","10060","6","10","0","270","0","240","226","1","310","8","8","7","2","A","A",,"5","3","38","5","2","239","6","992","114","5","1","2","2","115111","11111111111111",,,"1","2",,"4"
"PFRO","2017-09-25T02:00:00","20.90","-107.40",,,"1","4","0","0","7","3",,"1","0","280","4","77",,"98","2","2","10070","4","0","0","255","0","230","218","1","310",,,,"A",,,,"3","3","38","3","2","239","7","992","114","5","1","2","1","111111","11111111118111",,,"1","2",,"4"
"PFRO","2017-09-25T03:00:00","21.10","-107.60",,,"1","4","0","0","7","4",,"1","0","280","4","103",,"98","2","2","10070","4","0","0","250","0","225","212","1","310",,,,"A",,,,"3","3","38","3","3","239","17","992","114","5","1","2","1","113111","11111111118111",,,"1","2",,"4"
"PFRO","2017-09-25T04:00:00","21.30","-107.90",,,"1","4","0","0","7","4",,"1","0","290","4","103",,"98","2","2","10070","4","0","0","250","0","230","220","1","310",,,,"A",,,,"3","3","38","2","3","239","17","992","114","5","1","2","1","113111","11111111118111",,,"1","2",,"4"
"PFRO","2017-09-25T10:00:00","22.50","-109.40",,,"1","4","0","0","7","4",,"1","0","300","4","123",,"98","2","2","10060","6","10","0","250","0","250","250","1","310","6",,,"A",,,,"3","3","38","6","3","239","29","992","114","5","1","2","1","113113","11111111111111",,,"1","2",,"4"
"PFRO","2017-09-25T11:00:00","22.70","-109.60",,,"1","4","0","0","7","4",,"1","0","300","4","113",,"98","2","2","10060","6","10","0","250","0","250","250","1","310","6",,,"A",,,,"3","2","38","6","3","239","29","992","114","5","1","2","1","113113","11111111111111",,,"1","2",,"4"
"PFRO","2017-09-25T17:00:00","22.90","-109.90",,,"1","4","0","0","0","0",,"1","0","300","4","72",,"98","2","2","10090","1","20","0","260","0","250","246","1","310","5","3","4","5","7","A",,"99",,"38",,"1","239","29","992","114","5","1","2","2","111111","11111111111731",,,"1","2",,"4"
"PFRO","2017-09-25T20:00:00","22.80","-109.90",,,"1","4","0","0","0","0",,"1","0","280","4","134",,"98","2","2","10070","4","0","0","265","0","260","258","1","310","4","2","4","5","7","A",,"5","1","38","4","1","239","29","992","114","5","1","2","2","115111","14111111111411",,,"1","2",,"4"
"ZCDG4","2017-09-26T01:00:00","20.20","-105.70",,,"1","6","2","5","3","4",,"1",,"270","4","41","1","97","29","2","10077","1","10","8","270",,"230","210","1","300","5","5","9","5","9","A",,"7","3","38",,,"239","5","798","172","5","0","2","2","111111","11111111111171",,"5",,"2","38",
"A8RW5","2017-09-26T09:00:00","20.80","-107.80",,,"1","6","2","5","3","4",,"1",,"280","3","62","1","97","2","1","10078","8","10","8","245",,"220","209","3","280","5","5","1","4","4","4",,"9","3",,,,"239","7","798","172","5","0",,"1","111111","111111111111A1",,"5",,"1",,
"H3VS","2017-09-26T09:00:00","22.90","-109.00",,,"1","6","2","5","5","3",,"1",,"350","3","62","1","97","15","2","10090",,,"8","280",,"250","239","3","300","9","9","A","A","A","A",,,"2",,,,"239","29","798","172","5","1","2","1","111111","111411111113AA",,"5",,"2",,
"ZCDG4","2017-09-26T09:00:00","20.80","-106.20",,,"1","6","2","5","3","3",,"1",,"310","4","31","1","98","2","2","10083","8","3","8","265",,"225","205","1","330",,,"A",,"A","A",,"4","2","23","6","3","239","6","798","172","5","1","2","1","311111","11111111118111",,"5",,"2",,
"A8RW5","2017-09-26T12:00:00","20.30","-107.00",,,"1","4","0","0","3","4",,"1","0","280","3","77",,"97","2","1","10075","5",,"0","255",,,"255","3","300","6","5","1","3","4","A",,,,"38","8","5","239","7","992","114","5","1","2","1","111113","1111111A111A17",,,"1","1",,"4"
"H3VS","2017-09-26T12:00:00","22.70","-109.60",,,"1","6","2","5","6","3",,"1",,"300","3","87","1","98",,,"10090","4","0","8","260",,"220","202","3","300","2","2","1","6","A","A",,"5","4",,,,"239","29","798","172","5","1","2","1","111111","111AA1111111A1",,"5",,,,
"C6QM8","2017-09-26T19:00:00","22.70","-109.80",,,"1","4","0","0","3","4","1","1","0","290","4","72",,"97",,,"10090","0",,"0","220","0","190","172","3",,"8",,"A","5","0","0",,,,"0",,,"239","29","992","114","5","1","2","2","641111","111AA116661A37",,,"1",,"0","4"
"C6QM8","2017-09-26T22:00:00","22.10","-108.60",,,"1","5","2","5","3","4",,"1",,"240","4","93","1","98",,"1","10100","4","0","8","230",,,,,,"5",,"A","A","A","A",,,,,,,"239","28","798","172","5","1","2","2","F2111F","111A111AAA1AA1",,"5",,"1",,
"PFBF","2017-09-27T00:00:00","21.18","-109.85",,,"1","6","2","5","3","3",,"1",,"300",,"67","1","98","2","0","10111","5","2","8","301",,"291","288","1","250","3","2","1","4","8","0",,"3","1","33","5","4","239","19","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,
"C6QM8","2017-09-27T02:00:00","21.60","-107.80",,,"1","6","2","5","3","4",,"1",,"280","4","62","1","98",,,"10080","5","10","8","240",,"212","197","3","260","8","8","7","3","A","A",,,,,,,"239","17","798","172","5","1","2","1","111111","111AA111111AA1",,"5",,,,
"2FRK8","2017-09-27T05:00:00","21.60","-109.30",,,"1","4","0","0",,,,"1","0","300","3","77",,"97","2",,"10080",,,"0","250",,,,"3","260","7",,,"A",,,,,"2","36",,"2","239","19","992","114","5","1","2","1","11111F","1111A11AA1133A",,,"1",,,"4"
"C6QM8","2017-09-27T07:00:00","21.00","-106.50",,,"1","4","0","0","3","4","1","1","0","310","4","62",,"98",,,"10090","0",,"0","230","0","200","183","3",,"3",,"1","4","0","0",,,,"0",,,"239","16","992","114","5","1","2","1","621111","111AA111111A37",,,"1",,"0","4"
"H3VS","2017-09-27T09:00:00","21.00","-106.60",,,"1","6","2","5","3","4",,"1",,"330","3","41","1","98","2","0","10090","4","0","8","260",,"230","218","3","290","9","9","A","A","A","A",,"12","3",,,,"239","16","798","172","5","1","2","1","111111","111111111141A1",,"5",,"0",,
"2FRK8","2017-09-27T11:00:00","20.00","-107.00",,,"1","4","0","0",,,,"1","0","270","3","46",,"97","2",,"10080",,,"0","260",,,,"3","290","3",,,"A",,,,,"2","32",,"2","239","7","992","114","5","1","2","1","11111F","1111A11AA1133A",,,"1",,,"4"
"H3VS","2017-09-27T12:00:00","20.60","-105.70",,,"1","4","0","0","3","4",,"1","0","360","3","36",,"98",,,"10090","4","0","0","270","0","240","228","3","300","2","2","2","7","A","0",,"18","2","0",,,"239","5","992","114","5","1","2","1","111111","111AA111111331",,,"1",,"0","4"
"PFBF","2017-09-27T12:00:00","20.00","-107.50",,,"1","4","0","0","3","3","1","1","0","210","4","31",,"98","1","0","10110","5","5","0","261","0","211","188","1","270","3",,,"A",,,,"2","1",,,,"239","7","992","114","5","1","2","1","111111","111111111111A1",,,"1","0",,"4"
"5100819","2017-09-28T00:08:00","22.40","-106.80",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8","314",,,,"9","277",,,,,,,,,,,,,"239","26","798","172","7","1","2","2","11FFFF","1AAAAA1AA1AAAA","4",,,,,
"C6QM8","2017-09-28T03:00:00","21.40","-105.90",,,"1","6","2","5","8","2",,"1",,"310","4","72","1","98",,,"10070",,,"8","260",,"235","223","3","280","8","8","4","5","A","A",,,,,,,"239","15","798","172","5","1","2","1","111111","111AA111111AAA",,"5",,,,
"C6QM8","2017-09-28T07:00:00","22.10","-106.20",,,"1","4","0","0","8","4","1","1","0","310","4","41",,"98",,,"10090","0",,"0","250","0","220","204","3","240","5",,"1","4","0","0",,,,"0",,,"239","26","992","114","5","1","2","1","411111","111AA111111A37",,,"1",,"0","4"
"H3VS","2017-09-28T09:00:00","21.10","-106.80",,,"1","6","2","5","7","4",,"1",,,,,"1","98","3","1","10110","4","0","8","280",,"240","224","3","300","5","9","8","4","A","A",,"15","4",,,,"239","16","798","172","5","1","2","1","11FF11","1A1111111137A1",,"5",,"1",,
"C6QM8","2017-09-28T12:00:00","22.90","-106.30",,,"1","5","2","5","8","2",,"1",,"280","4","93","1","98",,"1","10090","4","0","8","260",,,,,,"5",,"A","A","A","A",,,,,,,"239","26","798","172","5","1","2","1","F1311F","111A111AAA1AA1",,"5",,"1",,
"H3VS","2017-09-28T12:00:00","21.80","-108.00",,,"1","6","2","5","7","4",,"1",,"230","3","62","1","98",,,"10120","4","0","8","270",,"230","213","3","280",,,"A",,"A","A",,"6","2",,,,"239","18","798","172","5","1","2","1","111111","111AA1111181A1",,"5",,,,
"ZCBU5","2017-09-29T00:00:00","22.10","-108.60",,,"1","4","0","0","3","4","1","1","0","220","4","26",,"98","2","0","10073","7","10","0","280",,,"205","1","300","4","4","1","5","0","0",,"99",,"0",,,"239","28","992","114","5","1","2","2","111111","1111111A111731",,,"1","0","0","4"
"C6QM8","2017-09-29T04:00:00","23.00","-107.80",,,"1","6","2","5","6","4",,"1",,"300","4","46","1","98",,,"10080","0","10","8","270",,"250","241","3","280","2","2","0","6","7","0",,,,,,,"239","37","798","172","5","1","2","1","111111","111AA111111AA1",,"5",,,,
"ZCBU5","2017-09-29T05:00:00","21.30","-107.10",,,"1","4","0","0","3","4","1","1","0","300","4","31",,"98","2","0","10093","7","10","0","280",,,"205","1","300","4","3","1","5","0","0",,"0","0","0",,,"239","17","992","114","5","1","2","1","111111","1111111A111131",,,"1","0","0","4"
"C6QM8","2017-09-29T08:00:00","22.90","-108.60",,,"1","4","0","0","6","3","1","1","0","250","4","21",,"98",,,"10090","0",,"0","260","0","240","231","3","240","2",,"1","4","0","0",,,,"0",,,"239","28","992","114","5","1","2","1","211111","111AA111111A37",,,"1",,"0","4"
"C6QM8","2017-09-29T11:00:00","22.90","-109.50",,,"1","5","2","5","6","3",,"1",,"290","4","41","1","98",,,"10090","4","0","8","260",,,,,,"3",,"A","A","A","A",,,,,,,"239","29","798","172","5","1","2","1","F1111F","111AA11AAA1AA1",,"5",,,,
"ZCDF4","2017-09-30T05:00:00","21.30","-107.10",,,"1","6","2","5","3","4",,"1",,"350","4","57","1","98","2","0","10090","2","2","8","275",,"265","261","1","280","3","3","5","5","0","0",,"4","1","32","4","1","239","17","798","172","5","1","2","1","111111","11111111111111",,"5",,"0",,
"ZCDF4","2017-09-30T10:00:00","20.80","-106.10",,,"1","6","2","5","3","4",,"1",,"50","4","51","1","98","2","2","10082","4","0","8","285",,"265","257","1","280","8","3","7","2","0","0",,"4","1","31","4","2","239","6","798","172","5","0",,"1","111111","11111111111111",,"5",,"2",,
